keyword,keyword_group,search_intent,target_canonical_url,primary_or_secondary,reason_for_mapping,overlap_risk,recommended_action
aw textures fabrics,fabric_type,Commercial,/collections/aw-textures/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton fabric collection,fabric_type,Commercial,/collections/cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
denim fabric collection,fabric_type,Commercial,/collections/denim/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
home & contract fabric collection,fabric_type,Commercial,/collections/home-contract/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
home & contract fabrics,fabric_type,Commercial,/collections/home-contract/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
knitwear fabric collection,fabric_type,Commercial,/collections/knitwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen & lightweight fabric collection,fabric_type,Commercial,/collections/linen-lightweight/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen & lightweight fabrics,fabric_type,Commercial,/collections/linen-lightweight/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
performance fabric collection,fabric_type,Commercial,/collections/performance/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
performance fabrics,fabric_type,Commercial,/collections/performance/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk & sheer fabric collection,fabric_type,Commercial,/collections/silk-sheer/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk & sheer fabrics,fabric_type,Commercial,/collections/silk-sheer/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
structured classics fabric collection,fabric_type,Commercial,/collections/structured-classics/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
structured classics fabrics,fabric_type,Commercial,/collections/structured-classics/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
tailoring fabric collection,fabric_type,Commercial,/collections/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
technical outerwear fabric collection,fabric_type,Commercial,/collections/technical-outerwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
technical outerwear fabrics,fabric_type,Commercial,/collections/technical-outerwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
velvet & pile fabric collection,fabric_type,Commercial,/collections/velvet-pile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
velvet & pile fabrics,fabric_type,Commercial,/collections/velvet-pile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for activewear,application,Commercial,/fabrics/best-for/activewear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for activewear,application,Commercial,/fabrics/best-for/activewear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/fabric-for-activewear/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
fabrics for activewear,application,Commercial,/fabrics/best-for/activewear/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for bedding,application,Commercial,/fabrics/best-for/bedding/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for bedding,application,Commercial,/fabrics/best-for/bedding/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabrics for bedding,application,Commercial,/fabrics/best-for/bedding/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for dresses,application,Commercial,/fabrics/best-for/dresses/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for dresses,application,Commercial,/fabrics/best-for/dresses/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /fabrics/dress-fabric/ /discover/fabric-for-dresses/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
fabrics for dresses,application,Commercial,/fabrics/best-for/dresses/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for home textiles,application,Commercial,/fabrics/best-for/home-textiles/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for home textiles,application,Commercial,/fabrics/best-for/home-textiles/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabrics for home textiles,application,Commercial,/fabrics/best-for/home-textiles/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for knitwear,application,Commercial,/fabrics/best-for/knitwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for knitwear,application,Commercial,/fabrics/best-for/knitwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/fabric-for-knitwear/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
fabrics for knitwear,application,Commercial,/fabrics/best-for/knitwear/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for occasionwear,application,Commercial,/fabrics/best-for/occasionwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for occasionwear,application,Commercial,/fabrics/best-for/occasionwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabrics for occasionwear,application,Commercial,/fabrics/best-for/occasionwear/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for outerwear,application,Commercial,/fabrics/best-for/outerwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for outerwear,application,Commercial,/fabrics/best-for/outerwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/fabric-for-outerwear/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
fabrics for outerwear,application,Commercial,/fabrics/best-for/outerwear/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for resortwear,application,Commercial,/fabrics/best-for/resortwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for resortwear,application,Commercial,/fabrics/best-for/resortwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabrics for resortwear,application,Commercial,/fabrics/best-for/resortwear/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for shirts,application,Commercial,/fabrics/best-for/shirts/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for shirts,application,Commercial,/fabrics/best-for/shirts/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/fabric-for-shirts/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
fabrics for shirts,application,Commercial,/fabrics/best-for/shirts/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for tailoring,application,Commercial,/fabrics/best-for/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for tailoring,application,Commercial,/fabrics/best-for/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabrics for tailoring,application,Commercial,/fabrics/best-for/tailoring/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for trousers,application,Commercial,/fabrics/best-for/trousers/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for trousers,application,Commercial,/fabrics/best-for/trousers/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/fabric-for-trousers/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
fabrics for trousers,application,Commercial,/fabrics/best-for/trousers/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for upholstery,application,Commercial,/fabrics/best-for/upholstery/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for upholstery,application,Commercial,/fabrics/best-for/upholstery/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabrics for upholstery,application,Commercial,/fabrics/best-for/upholstery/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
best fabric for women's clothing,application,Commercial,/fabrics/best-for/womens-clothing/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for women's clothing,application,Commercial,/fabrics/best-for/womens-clothing/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabrics for women's clothing,application,Commercial,/fabrics/best-for/womens-clothing/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
buy fabric online,fabric_type,Transactional,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric marketplace,fabric_type,Commercial,/marketplace/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric online,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric sourcing,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /fabric-sourcing/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
fabric sourcing for fashion brands,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric sourcing online,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric sourcing platform,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric store,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric supplier,supplier,Transactional,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric supplier for clothing brands,supplier,Transactional,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric supplier online,supplier,Transactional,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric suppliers,supplier,Transactional,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric wholesale,wholesale_commercial,Transactional,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabrics,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
online fabric marketplace,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
online fabric sourcing,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
online fabric store,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
source fabric online,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
textile sourcing,fabric_type,Commercial,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
textile supplier,supplier,Transactional,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
wholesale fabric,wholesale_commercial,Transactional,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /wholesale-fabric/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
wholesale fabrics,wholesale_commercial,Transactional,/marketplace/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
bedding fabric,application,Commercial,/collections/home-contract/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
contract textile,fabric_type,Commercial,/collections/home-contract/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
curtain fabric,application,Commercial,/collections/home-contract/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
drape fabric,fabric_type,Commercial,/collections/home-contract/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
home textile fabric,fabric_type,Commercial,/collections/home-contract/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
upholstery fabric,application,Commercial,/collections/home-contract/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
crochet knit fabric,fabric_type,Commercial,/collections/knitwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
jersey fabric,fabric_type,Commercial,/collections/knitwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/jersey-fabric/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
knit fabric,fabric_type,Commercial,/collections/knitwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/knit-fabric/ /discover/how-knit-fabric-is-built/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
knit fabrics,fabric_type,Commercial,/collections/knitwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
open stitch knit,fabric_type,Commercial,/collections/knitwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
pointelle knit,fabric_type,Commercial,/collections/knitwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
buy linen fabric,fabric_type,Commercial,/collections/linen-lightweight/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
european flax linen,fabric_type,Commercial,/collections/linen-lightweight/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
flax linen,fabric_type,Commercial,/collections/linen-lightweight/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen fabric,fabric_type,Commercial,/collections/linen-lightweight/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen fabric online,fabric_type,Commercial,/collections/linen-lightweight/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen fabrics,fabric_type,Commercial,/collections/linen-lightweight/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
boiled wool,fabric_type,Commercial,/fabrics/boiled-wool/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton poplin,fabric_type,Commercial,/fabrics/cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton seersucker,fabric_type,Commercial,/fabrics/cotton-seersucker/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton voile,fabric_type,Commercial,/fabrics/cotton-voile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
european flax linen fabric,fabric_type,Commercial,/fabrics/european-flax-linen/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
lightweight denim fabric,fabric_type,Commercial,/fabrics/lightweight-denim/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/lightweight-denim-fabric/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
linen-cotton,fabric_type,Commercial,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen-cotton fabric,fabric_type,Commercial,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
melton,fabric_type,Commercial,/fabrics/melton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
pointelle knit fabric,fabric_type,Commercial,/fabrics/pointelle-knit/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk chiffon,fabric_type,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
