URL,page_type,cluster,indexable,noindex,canonical,sitemap,title,meta_description,H1,H2s,word_count,meaningful_body_word_count,primary_topic,search_intent,image,image_alt,internal_inlinks,internal_outlinks,crawl_depth,duplicate_risk,page_value,content_grade,redirect_to
/fabrics/wool-fabric/,,,yes,no,/fabrics/wool-fabric/,yes,"Wool Fabric for Apparel, Tailoring & Outerwear","Explore wool fabric for apparel — woven wool, tailoring cloths, textures and outerwear directions. Compare composition and construction, then inquire.","Wool fabric for clothing, tailoring and coats",,421,381,wool fabric,commercial_investigation,,,,27,,,medium,B,
/collections/,,,yes,no,/collections/,yes,"Fabric Collections: Cotton, Linen, Silk","Browse FabStitch fabric collections — linen, cotton, silk, denim, technical outerwear, and home textiles — then open individual fabrics for.",Start with the material.,,315,275,fabric collections,commercial_investigation,,,,18,,,supporting,C,
/fabrics/best-for/,,,yes,no,/fabrics/best-for/,yes,"Fabrics by Use: Shirts, Dresses & More","Start with the garment you are making and compare FabStitch fabrics already grouped for shirts, dresses, or another use.",Find fabric for what you are making.,,313,273,best fabrics by use,commercial_investigation,,,,17,,,supporting,C,
/guides/,,,yes,no,/guides/,yes,"Fabric Guides for Weight, Weave & Use","Read FabStitch guides on fabric weight, composition, weaves, and how to choose cloth for shirts, dresses, and production.",Fabric knowledge for better sourcing.,,303,263,fabric education,informational,,,,28,,,supporting,C,
/help/,,,yes,no,/help/,yes,"FabStitch Help: Search, Inquiries, Account","Find help on discovering fabrics, sending an inquiry, and managing an account. Support answers questions that need a person.",How can we help?,,0,0,FabStitch help,support,,,,17,,,thin,D,
/about/,,,yes,no,/about/,yes,About FabStitch: Fabric Discovery & Sourcing,Why FabStitch exists and how a material-first fabric storefront makes product discovery and comparison clearer. See how About FabStitch relates to.,"Material decisions, made clearer.",,313,273,about FabStitch,brand,,,,3,,,supporting,C,
/how-it-works/,,,yes,no,/how-it-works/,yes,How FabStitch Works: Discover & Source,"See how FabStitch connects discovery, search, Best For guidance, fabric specifications, quantity, and a sourcing inquiry.",From an idea to the right fabric.,,306,266,how FabStitch works,navigational,,,,3,,,supporting,C,
/contact/,,,yes,no,/contact/,yes,Contact FabStitch about Fabric Sourcing,"Contact FabStitch about a fabric, the marketplace, an order or how the product works. See how Contact relates to construction, weight, and apparel use.",Let’s talk fabrics.,,307,267,contact FabStitch,navigational,,,,3,,,supporting,C,
/support/,,,no,yes,/support/,no,Need help with something specific? Fabric Notes,"Contact FabStitch for fabric inquiries, sourcing questions, account issues, and help using the platform. See how Need help with something specific?",Need help with something specific?,,0,0,FabStitch support,support,,,,2,,,low,D,
/fabrics/european-flax-linen/,,,yes,no,/fabrics/european-flax-linen/,yes,European Flax Linen for apparel sourcing,"Explore European Flax Linen in the FabStitch 2027 collection, with 100% flax. Best for Shirts, Trousers, Dresses. See how European Flax Linen relates.",European Flax Linen,,405,365,European Flax Linen fabric,commercial_investigation,,,,3,,,medium,B,
/fabrics/linen-cotton/,,,yes,no,/fabrics/linen-cotton/,yes,Linen–Cotton for apparel sourcing Fabric Notes,"Explore Linen–Cotton in the FabStitch 2027 collection, with 55% linen / 45% cotton / 70% linen / 30% cotton. Best for Shirts, Chore jackets, Bottoms.",Linen–Cotton,,407,367,Linen–Cotton fabric,commercial_investigation,,,,3,,,medium,B,
/fabrics/linen-silk/,,,no,yes,/fabrics/linen-silk/,no,Linen–Silk for apparel sourcing buyer notes,"Explore Linen–Silk in the FabStitch 2027 collection, with 70% linen / 30% mulberry silk. Best for Knitwear, Dresses, Resortwear.",Linen–Silk,,398,358,Linen–Silk fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/linen-viscose/,,,no,yes,/fabrics/linen-viscose/,no,Linen–Viscose for apparel sourcing Fabric Notes,"Explore Linen–Viscose in the FabStitch 2027 collection, with 55% linen / 45% viscose. Drapey. Best for Trousers, Soft tailoring.",Linen–Viscose,,394,354,Linen–Viscose fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/linen-lyocell/,,,no,yes,/fabrics/linen-lyocell/,no,Linen–Lyocell for apparel sourcing Fabric Notes,"Explore Linen–Lyocell in the FabStitch 2027 collection, with 55% linen / 45% lyocell. Drapey. Best for Trousers, Soft tailoring.",Linen–Lyocell,,394,354,Linen–Lyocell fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/cotton-poplin/,,,yes,no,/fabrics/cotton-poplin/,yes,Cotton Poplin for apparel sourcing Fabric Notes,"Explore Cotton Poplin in the FabStitch 2027 collection, with Cotton. Crisp, Translucent. Best for Shirts. See how Cotton Poplin relates to.",Cotton Poplin,,381,341,Cotton Poplin fabric,commercial_investigation,,,,2,,,supporting,C,
/fabrics/cotton-voile/,,,yes,no,/fabrics/cotton-voile/,yes,Cotton Voile for apparel sourcing Fabric Notes,"Explore Cotton Voile in the FabStitch 2027 collection, with Cotton. Crisp, Translucent. Best for Shirts. See how Cotton Voile relates to construction.",Cotton Voile,,381,341,Cotton Voile fabric,commercial_investigation,,,,2,,,supporting,C,
/fabrics/cotton-organdy/,,,no,yes,/fabrics/cotton-organdy/,no,Cotton Organdy for apparel sourcing Fabric Notes,"Explore Cotton Organdy in the FabStitch 2027 collection, with Cotton. Stiff, Sheer, Holds volume. Best for Layering pieces.",Cotton Organdy,,392,352,Cotton Organdy fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/cotton-boucle-yarn/,,,no,yes,/fabrics/cotton-boucle-yarn/,no,Cotton Bouclé Yarn for apparel sourcing Use Notes,"Explore Cotton Bouclé Yarn in the FabStitch 2027 collection, with 100% cotton. Volume without weight. Best for Knitwear.",Cotton Bouclé Yarn,,391,351,Cotton Bouclé Yarn fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/cotton-seersucker/,,,yes,no,/fabrics/cotton-seersucker/,yes,Cotton Seersucker for apparel sourcing Use Notes,"Explore Cotton Seersucker in the FabStitch 2027 collection, with Cotton. Puckered surface, No pressing. See how Cotton Seersucker relates to.",Cotton Seersucker,,395,355,Cotton Seersucker fabric,commercial_investigation,,,,1,,,medium,B,
/fabrics/crinkle-cotton/,,,no,yes,/fabrics/crinkle-cotton/,no,Crinkle Cotton for apparel sourcing Fabric Notes,"Explore Crinkle Cotton in the FabStitch 2027 collection, with Cotton. Puckered surface, No pressing. See how Crinkle Cotton relates to construction.",Crinkle Cotton,,395,355,Crinkle Cotton fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/slub-cotton/,,,no,yes,/fabrics/slub-cotton/,no,Slub Cotton for apparel sourcing buyer notes,"Explore Slub Cotton in the FabStitch 2027 collection, with Cotton. Irregular yarn, Handmade character. See how Slub Cotton relates to construction.",Slub Cotton,,395,355,Slub Cotton fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/khadi-effect-cotton/,,,no,yes,/fabrics/khadi-effect-cotton/,no,Khadi-Effect Cotton for apparel sourcing,"Explore Khadi-Effect Cotton in the FabStitch 2027 collection, with Cotton. Irregular yarn, Handmade character. See how Khadi-Effect Cotton relates to.",Khadi-Effect Cotton,,395,355,Khadi-Effect Cotton fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/silk-chiffon/,,,yes,no,/fabrics/silk-chiffon/,yes,Silk Chiffon for apparel sourcing Fabric Notes,"Explore Silk Chiffon in the FabStitch 2027 collection, with Silk. Sheer, Floating. Best for Dresses, Blouses, Scarves. See how Silk Chiffon relates to.",Silk Chiffon,,393,353,Silk Chiffon fabric,commercial_investigation,,,,3,,,medium,B,
/fabrics/silk-georgette/,,,yes,no,/fabrics/silk-georgette/,yes,Silk Georgette for apparel sourcing Fabric Notes,"Explore Silk Georgette in the FabStitch 2027 collection, with Silk. Crinkled, Slightly heavier than chiffon, Better drape. Best for Dresses, Trousers.",Silk Georgette,,401,361,Silk Georgette fabric,commercial_investigation,,,,3,,,medium,B,
/fabrics/silk-organza/,,,no,yes,/fabrics/silk-organza/,no,Silk Organza for apparel sourcing Fabric Notes,"Explore Silk Organza in the FabStitch 2027 collection, with Silk. Sheer, Stiff, Holds shape. Best for Volume sleeves, Overlays, Ruffles.",Silk Organza,,400,360,Silk Organza fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/silk-taffeta/,,,no,yes,/fabrics/silk-taffeta/,no,Silk Taffeta for apparel sourcing Fabric Notes,"Explore Silk Taffeta in the FabStitch 2027 collection, with Silk. Crisp, Papery rustle. Best for Occasionwear, Full skirts, Lightweight outerwear.",Silk Taffeta,,392,352,Silk Taffeta fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/crepe-de-chine/,,,no,yes,/fabrics/crepe-de-chine/,no,Crepe de Chine for apparel sourcing Fabric Notes,"Explore Crepe de Chine in the FabStitch 2027 collection, with Silk. Matte, Fluid, Hangs close to the body. Best for Slip dresses, Shirts, Linings.",Crepe de Chine,,410,370,Crepe de Chine fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/silk-habotai/,,,no,yes,/fabrics/silk-habotai/,no,Silk Habotai for apparel sourcing Fabric Notes,"Explore Silk Habotai in the FabStitch 2027 collection, with Silk. Thin, Smooth. Best for Linings, Scarves. See how Silk Habotai relates to.",Silk Habotai,,396,356,Silk Habotai fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/silk-dupion/,,,no,yes,/fabrics/silk-dupion/,no,Silk Dupion for apparel sourcing buyer notes,"Explore Silk Dupion in the FabStitch 2027 collection, with Silk. Slubby, Irregular, High sheen. Best for Jackets, Occasionwear, Home textiles /.",Silk Dupion,,402,362,Silk Dupion fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/silk-boucle/,,,no,yes,/fabrics/silk-boucle/,no,Silk Bouclé for apparel sourcing buyer notes,"Explore Silk Bouclé in the FabStitch 2027 collection, with 99% silk / 1% bouclé yarn. Lightly elasticized, Structured, Natural silk lustre.",Silk Bouclé,,410,370,Silk Bouclé fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/merino-roica-stretch-tailoring/,,,no,yes,/fabrics/merino-roica-stretch-tailoring/,no,Merino + Roica Stretch Tailoring Fabric Notes,"Explore Merino + Roica Stretch Tailoring in the FabStitch 2027 collection, with Merino wool with Roica elastomer. Wrinkle resistant, Elastic.",Merino + Roica Stretch Tailoring,,434,394,Merino + Roica Stretch Tailoring fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/wool-silk-bi-stretch/,,,no,yes,/fabrics/wool-silk-bi-stretch/,no,Wool–Silk Bi-Stretch Fabric Notes Fabric Notes,"Explore Wool–Silk Bi-Stretch in the FabStitch 2027 collection, with Wool and silk. Natural bi-stretch, Lightweight, Crease resistant, Breathable.",Wool–Silk Bi-Stretch,,410,370,Wool–Silk Bi-Stretch fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/wool-linen-open-weave/,,,no,yes,/fabrics/wool-linen-open-weave/,no,Wool–Linen Open Weave Fabric Notes Fabric Notes,"Explore Wool–Linen Open Weave in the FabStitch 2027 collection, with Wool and linen. Best for Unstructured jackets. See how Wool–Linen Open Weave.",Wool–Linen Open Weave,,407,367,Wool–Linen Open Weave fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/wool-mohair-open-weave/,,,no,yes,/fabrics/wool-mohair-open-weave/,no,Wool–Mohair Open Weave Fabric Notes Fabric Notes,"Explore Wool–Mohair Open Weave in the FabStitch 2027 collection, with Wool and mohair. Best for Unstructured jackets. See how Wool–Mohair Open Weave.",Wool–Mohair Open Weave,,407,367,Wool–Mohair Open Weave fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/tropical-wool-super-110s-130s/,,,no,yes,/fabrics/tropical-wool-super-110s-130s/,no,Super 110s–130s Tropical Wool Fabric Notes,"Explore Super 110s–130s Tropical Wool in the FabStitch 2027 collection, with Wool. Best for Suiting. See how Super 110s–130s Tropical Wool relates to.",Super 110s–130s Tropical Wool,,413,373,Super 110s–130s Tropical Wool fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/open-stitch-knit/,,,no,yes,/fabrics/open-stitch-knit/,no,Open-Stitch Knit for apparel sourcing for Apparel,"Explore Open-Stitch Knit in the FabStitch 2027 collection, with Cotton, linen or blends. Best for Resortwear. See how Open-Stitch Knit relates to.",Open-Stitch Knit,,393,353,Open-Stitch Knit fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/pointelle-knit/,,,yes,no,/fabrics/pointelle-knit/,yes,Pointelle Knit for apparel sourcing Fabric Notes,"Explore Pointelle Knit in the FabStitch 2027 collection, with Cotton, linen or blends. Best for Resortwear. See how Pointelle Knit relates to.",Pointelle Knit,,391,351,Pointelle Knit fabric,commercial_investigation,,,,2,,,medium,B,
/fabrics/crochet-effect-knit/,,,no,yes,/fabrics/crochet-effect-knit/,no,Crochet-Effect Knit for apparel sourcing,"Explore Crochet-Effect Knit in the FabStitch 2027 collection, with Cotton, linen or blends. Best for Resortwear. See how Crochet-Effect Knit relates to",Crochet-Effect Knit,,393,353,Crochet-Effect Knit fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/fine-gauge-semi-sheer-knit/,,,no,yes,/fabrics/fine-gauge-semi-sheer-knit/,no,Fine-Gauge Semi-Sheer Knit Fabric Notes Use Notes,"Explore Fine-Gauge Semi-Sheer Knit in the FabStitch 2027 collection, with Silk / Silk-cotton / Fine merino. Semi-sheer. Best for Layering pieces.",Fine-Gauge Semi-Sheer Knit,,407,367,Fine-Gauge Semi-Sheer Knit fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/cotton-boucle-knit/,,,no,yes,/fabrics/cotton-boucle-knit/,no,Cotton Bouclé Knit for apparel sourcing Use Notes,"Explore Cotton Bouclé Knit in the FabStitch 2027 collection, with Cotton. Volume without weight. Best for Knitwear. See how Cotton Bouclé Knit relates.",Cotton Bouclé Knit,,394,354,Cotton Bouclé Knit fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/linen-boucle-knit/,,,no,yes,/fabrics/linen-boucle-knit/,no,Linen Bouclé Knit for apparel sourcing Use Notes,"Explore Linen Bouclé Knit in the FabStitch 2027 collection, with Linen. Volume without weight. Best for Knitwear. See how Linen Bouclé Knit relates to.",Linen Bouclé Knit,,394,354,Linen Bouclé Knit fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/lightweight-merino-knit/,,,no,yes,/fabrics/lightweight-merino-knit/,no,Lightweight Merino Knit Fabric Notes for Apparel,"Explore Lightweight Merino Knit in the FabStitch 2027 collection, with Merino wool. Lightweight, Shoulder-season weight. Best for Layering pieces.",Lightweight Merino Knit,,405,365,Lightweight Merino Knit fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/stretch-woven-compression/,,,yes,no,/fabrics/stretch-woven-compression/,yes,Stretch-Woven Compression Fabric Notes Use Notes,"Explore Stretch-Woven Compression in the FabStitch 2027 collection. Compression, Barely-there performance. Best for Baselayers.",Stretch-Woven Compression,,386,346,Stretch-Woven Compression fabric,commercial_investigation,,,,2,,,supporting,C,
/fabrics/crossover-swimwear-fabric/,,,no,yes,/fabrics/crossover-swimwear-fabric/,no,Crossover Swimwear Fabric Fabric Notes Use Notes,"Explore Crossover Swimwear Fabric in the FabStitch 2027 collection. Designed to cross over beyond swimwear. Best for Swimwear, Citywear, Loungewear.",Crossover Swimwear Fabric,,406,366,Crossover Swimwear Fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/cooling-performance-construction/,,,no,yes,/fabrics/cooling-performance-construction/,no,Cooling Performance Construction Fabric Notes,"Explore Cooling Performance Construction in the FabStitch 2027 collection. Cooling, Long-lasting fresh feel, Year-round use. Best for Activewear.",Cooling Performance Construction,,404,364,Cooling Performance Construction fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/ultra-light-semi-sheer-lounge-knit/,,,no,yes,/fabrics/ultra-light-semi-sheer-lounge-knit/,no,Ultra-Light Semi-Sheer Lounge Knit Fabric Notes,"Explore Ultra-Light Semi-Sheer Lounge Knit in the FabStitch 2027 collection. Ultra-light, Semi-sheer. Best for Loungewear.",Ultra-Light Semi-Sheer Lounge Knit,,397,357,Ultra-Light Semi-Sheer Lounge Knit fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/retro-sportif-knit/,,,no,yes,/fabrics/retro-sportif-knit/,no,Retro Sportif Knit for apparel sourcing Use Notes,Explore Retro Sportif Knit in the FabStitch 2027 collection. 1990s soccer and basketball kit reference. Best for Activewear.,Retro Sportif Knit,,402,362,Retro Sportif Knit fabric,commercial_investigation,,,,2,,,low,B,
/fabrics/melton/,,,yes,no,/fabrics/melton/,yes,Melton for apparel sourcing buyer notes Use Notes,"Explore Melton in the FabStitch 2027 collection, with Wool / Wool blend. Cut edges need no finishing. Best for Coats. See how Melton relates to.",Melton,,385,345,Melton fabric,commercial_investigation,,,,2,,,supporting,C,
/fabrics/boiled-wool/,,,yes,no,/fabrics/boiled-wool/,yes,Boiled Wool for apparel sourcing buyer notes,"Explore Boiled Wool in the FabStitch 2027 collection, with Wool. Best for Jackets, Unlined coats, Soft tailoring. See how Boiled Wool relates to.",Boiled Wool,,388,348,Boiled Wool fabric,commercial_investigation,,,,3,,,supporting,C,
/fabrics/double-face-wool/,,,no,yes,/fabrics/double-face-wool/,no,Double-Face Wool for apparel sourcing for Apparel,"Explore Double-Face Wool in the FabStitch 2027 collection, with Wool. Reversible. Best for Unlined coats. See how Double-Face Wool relates to.",Double-Face Wool,,387,347,Double-Face Wool fabric,commercial_investigation,,,,2,,,low,C,
/fabrics/brushed-flannel/,,,no,yes,/fabrics/brushed-flannel/,no,Brushed Flannel for apparel sourcing for Apparel,"Explore Brushed Flannel in the FabStitch 2027 collection, with Wool / Cotton. Best for Shirts, Trousers, Suiting. See how Brushed Flannel relates to.",Brushed Flannel,,386,346,Brushed Flannel fabric,commercial_investigation,,,,3,,,low,C,
/fabrics/mohair-blend/,,,no,yes,/fabrics/mohair-blend/,no,Mohair Blend for apparel sourcing Fabric Notes,"Explore Mohair Blend in the FabStitch 2027 collection, with Mohair blend. Long hair fibre, Halo effect. Best for Coats, Statement knits.",Mohair Blend,,396,356,Mohair Blend fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/alpaca-blend/,,,no,yes,/fabrics/alpaca-blend/,no,Alpaca Blend for apparel sourcing Fabric Notes,"Explore Alpaca Blend in the FabStitch 2027 collection, with Alpaca blend. Long hair fibre, Halo effect. Best for Coats, Statement knits.",Alpaca Blend,,396,356,Alpaca Blend fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/casentino-wool/,,,no,yes,/fabrics/casentino-wool/,no,Casentino Wool for apparel sourcing Fabric Notes,"Explore Casentino Wool in the FabStitch 2027 collection, with Wool. Heritage coating, Craft character. Best for Coats. See how Casentino Wool relates.",Casentino Wool,,385,345,Casentino Wool fabric,commercial_investigation,,,,2,,,low,C,
/fabrics/cotton-moleskin/,,,no,yes,/fabrics/cotton-moleskin/,no,Cotton Moleskin for apparel sourcing for Apparel,"Explore Cotton Moleskin in the FabStitch 2027 collection, with Cotton. Best for Workwear trousers, Workwear jackets. See how Cotton Moleskin relates to",Cotton Moleskin,,387,347,Cotton Moleskin fabric,commercial_investigation,,,,2,,,low,C,
/fabrics/peach-skin/,,,no,yes,/fabrics/peach-skin/,no,Peach-Skin for apparel sourcing buyer notes,"Explore Peach-Skin in the FabStitch 2027 collection, with Microfibre polyester / Poly-cotton. Dry, powdery hand. See how Peach-Skin relates to.",Peach-Skin,,381,341,Peach-Skin fabric,commercial_investigation,,,,1,,,low,C,
/fabrics/suede-effect-woven/,,,no,yes,/fabrics/suede-effect-woven/,no,Suede-Effect Woven for apparel sourcing Use Notes,"Explore Suede-Effect Woven in the FabStitch 2027 collection, with Poly-nylon microfibre. See how Suede-Effect Woven relates to construction, weight.",Suede-Effect Woven,,395,355,Suede-Effect Woven fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/real-suede/,,,no,yes,/fabrics/real-suede/,no,Real Suede for apparel sourcing buyer notes,"Explore Real Suede in the FabStitch 2027 collection, with Suede. See how Real Suede relates to construction, weight, and apparel use.",Real Suede,,395,355,Real Suede fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/real-leather/,,,no,yes,/fabrics/real-leather/,no,Real Leather for apparel sourcing Fabric Notes,"Explore Real Leather in the FabStitch 2027 collection, with Leather. See how Real Leather relates to construction, weight, and apparel use.",Real Leather,,395,355,Real Leather fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/calf-hair-finish/,,,no,yes,/fabrics/calf-hair-finish/,no,Calf-Hair Finish for apparel sourcing for Apparel,"Explore Calf-Hair Finish in the FabStitch 2027 collection, with Calf hair. Opulent finish. See how Calf-Hair Finish relates to construction, weight.",Calf-Hair Finish,,396,356,Calf-Hair Finish fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/fine-wale-corduroy/,,,no,yes,/fabrics/fine-wale-corduroy/,no,Fine-Wale Corduroy for apparel sourcing Use Notes,"Explore Fine-Wale Corduroy in the FabStitch 2027 collection. Best for Shirts, Trousers. See how Fine-Wale Corduroy relates to construction, weight, and",Fine-Wale Corduroy,,390,350,Fine-Wale Corduroy fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/jumbo-corduroy/,,,no,yes,/fabrics/jumbo-corduroy/,no,Jumbo Corduroy for apparel sourcing Fabric Notes,"Explore Jumbo Corduroy in the FabStitch 2027 collection. Best for Outerwear, Trousers. See how Jumbo Corduroy relates to construction, weight, and.",Jumbo Corduroy,,390,350,Jumbo Corduroy fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/cotton-velveteen/,,,no,yes,/fabrics/cotton-velveteen/,no,Cotton Velveteen for apparel sourcing for Apparel,"Explore Cotton Velveteen in the FabStitch 2027 collection, with Cotton. Matte. See how Cotton Velveteen relates to construction, weight, and apparel.",Cotton Velveteen,,385,345,Cotton Velveteen fabric,commercial_investigation,,,,1,,,low,C,
/fabrics/silk-viscose-velvet/,,,no,yes,/fabrics/silk-viscose-velvet/,no,Silk–Viscose Velvet for apparel sourcing,"Explore Silk–Viscose Velvet in the FabStitch 2027 collection, with Silk and viscose. Fluid, Lustrous. Best for Occasionwear, Interiors.",Silk–Viscose Velvet,,393,353,Silk–Viscose Velvet fabric,commercial_investigation,,,,3,,,low,B,
/fabrics/crushed-velvet/,,,no,yes,/fabrics/crushed-velvet/,no,Crushed Velvet for apparel sourcing Fabric Notes,"Explore Crushed Velvet in the FabStitch 2027 collection. Directional pile, Irregular light. See how Crushed Velvet relates to construction, weight, and",Crushed Velvet,,402,362,Crushed Velvet fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/panne-velvet/,,,no,yes,/fabrics/panne-velvet/,no,Panné Velvet for apparel sourcing Fabric Notes,"Explore Panné Velvet in the FabStitch 2027 collection. Directional pile, Irregular light. See how Panné Velvet relates to construction, weight, and.",Panné Velvet,,402,362,Panné Velvet fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/herringbone-tweed/,,,no,yes,/fabrics/herringbone-tweed/,no,Herringbone Tweed for apparel sourcing Use Notes,"Explore Herringbone Tweed in the FabStitch 2027 collection. Bigger repeats, Brighter neps. See how Herringbone Tweed relates to construction, weight.",Herringbone Tweed,,391,351,Herringbone Tweed fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/donegal-tweed/,,,no,yes,/fabrics/donegal-tweed/,no,Donegal Tweed for apparel sourcing Fabric Notes,"Explore Donegal Tweed in the FabStitch 2027 collection. Bigger repeats, Brighter neps. See how Donegal Tweed relates to construction, weight, and.",Donegal Tweed,,393,353,Donegal Tweed fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/tartan/,,,no,yes,/fabrics/tartan/,no,Tartan for apparel sourcing buyer notes Use Notes,"Explore Tartan in the FabStitch 2027 collection. Oversized scale, Off-register colour. See how Tartan relates to construction, weight, and apparel use.",Tartan,,394,354,Tartan fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/check/,,,no,yes,/fabrics/check/,no,Check for apparel sourcing buyer notes Use Notes,"Explore Check in the FabStitch 2027 collection. Oversized scale, Off-register colour. See how Check relates to construction, weight, and apparel use.",Check,,394,354,Check fabric,commercial_investigation,,,,1,,,low,B,
/fabrics/membrane-backed-gabardine/,,,no,yes,/fabrics/membrane-backed-gabardine/,no,Membrane-Backed Gabardine Fabric Notes Use Notes,"Explore Membrane-Backed Gabardine in the FabStitch 2027 collection, with Technical wool. Best for City outerwear. See how Membrane-Backed Gabardine.",Membrane-Backed Gabardine,,385,345,Membrane-Backed Gabardine fabric,commercial_investigation,,,,2,,,low,C,
