url,category,page_type,h1,primary_keyword,secondary_keywords,search_intent,word_count,unique_content_score,similarity_risk,canonical,sitemap,incoming_links,outgoing_links,crawl_depth,image_count,alt_status,structured_data,value_class,recommended_action,reason,h2s
/collections/linen-lightweight/,Collections,collection,Linen Fabric for Clothing & Apparel,linen fabric,European Flax Linen; Linen–Cotton; Linen–Silk; Linen–Viscose; Linen–Lyocell,commercial_investigation,788,59,REVIEW,/collections/linen-lightweight/,included,103,7,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,B,IMPROVE,"Partial overlap with /collections/silk-sheer/ (41% entity-normalized). Same intent label. Raw uniqueness is 88%. The lower score is from swapping entity names out, so the pages share a template. No page-specific H2 stored in the content source.",
/collections/performance/,Collections,collection,Performance fabrics,Performance fabrics,Stretch-Woven Compression; Crossover Swimwear Fabric; Cooling Performance Construction; Ultra-Light Semi-Sheer Lounge Knit; Retro Sportif Knit,commercial_investigation,323,56,REVIEW,/collections/performance/,included,4,1,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,B,IMPROVE,Partial overlap with /collections/denim/ (44% entity-normalized). Same intent label. No page-specific H2 stored in the content source.,
/collections/silk-sheer/,Collections,collection,Silk Fabric for Apparel & Occasionwear,silk fabric,Silk Chiffon; Silk Georgette; Silk Organza; Silk Taffeta; Crepe de Chine,commercial_investigation,1059,59,REVIEW,/collections/silk-sheer/,included,229,6,2,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,B,IMPROVE,"Partial overlap with /collections/linen-lightweight/ (41% entity-normalized). Same intent label. Raw uniqueness is 88%. The lower score is from swapping entity names out, so the pages share a template. No page-specific H2 stored in the content source.",
/collections/spring-summer-2027/,Collections,seasonal_collection,Spring / Summer 2027 fabrics,Spring / Summer 2027 fabrics,Linen & Lightweight; Cotton; Silk & Sheer; Tailoring; Knitwear; Performance,commercial_investigation,4828,77,STRONG DIFFERENTIATION,/collections/spring-summer-2027/,included,1,9,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,A,KEEP INDEXABLE,Body stays distinct from the nearest seasonal_collection sibling /collections/autumn-winter-2027-28/ (23% entity-normalized overlap).,
/collections/structured-classics/,Collections,collection,Structured Classics fabrics,Structured Classics fabrics,Herringbone Tweed; Donegal Tweed; Tartan; Check; Membrane-Backed Gabardine,commercial_investigation,398,56,REVIEW,/collections/structured-classics/,included,2,0,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,B,IMPROVE,Partial overlap with /collections/denim/ (44% entity-normalized). Same intent label. No page-specific H2 stored in the content source.,
/collections/tailoring/,Collections,collection,Tailoring fabrics,Tailoring fabrics,Merino + Roica Stretch Tailoring; Wool–Silk Bi-Stretch; Wool–Linen Open Weave; Wool–Mohair Open Weave; Super 110s–130s Tropical Wool,commercial_investigation,734,67,STRONG DIFFERENTIATION,/collections/tailoring/,included,104,0,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,B,IMPROVE,"Body stays distinct from the nearest collection sibling /collections/linen-lightweight/ (33% entity-normalized overlap). Raw uniqueness is 88%. The lower score is from swapping entity names out, so the pages share a template. No page-specific H2 stored in the content source.",
/collections/technical-outerwear/,Collections,collection,Technical Outerwear fabrics,Technical Outerwear fabrics,Recycled Nylon Ripstop; 2L Membrane Laminate; 2.5L Membrane Laminate; 3L Membrane Laminate; Wool–Technical Hybrid,commercial_investigation,390,60,REVIEW,/collections/technical-outerwear/,included,4,0,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,B,IMPROVE,Partial overlap with /collections/performance/ (40% entity-normalized). Same intent label. No page-specific H2 stored in the content source.,
/collections/velvet-pile/,Collections,collection,Velvet & Pile fabrics,Velvet & Pile fabrics,Fine-Wale Corduroy; Jumbo Corduroy; Cotton Velveteen; Silk–Viscose Velvet; Crushed Velvet,commercial_investigation,347,61,STRONG DIFFERENTIATION,/collections/velvet-pile/,included,75,0,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,B,IMPROVE,Body stays distinct from the nearest collection sibling /collections/structured-classics/ (39% entity-normalized overlap). No page-specific H2 stored in the content source.,
/contact/,Brand,brand,Let’s talk fabrics.,contact FabStitch,fabric help; customer support,navigational,307,99,STRONG DIFFERENTIATION,/contact/,included,0,0,1,0,no-image,Organization,B,KEEP INDEXABLE,"Body stays distinct from the nearest brand sibling /how-it-works/ (1% entity-normalized overlap). Useful task or brand page. Length is matched to the task, not padded.",When to contact FabStitch
/discover/,Discover,semantic_landing,Fabric discovery topics,fabric discovery topics,fabric topics; fabric materials guide; fabric use cases,commercial_investigation,300,100,STRONG DIFFERENTIATION,/discover/,included,1088,10,1,1,alt+title,Organization|CollectionPage|BreadcrumbList,A,KEEP INDEXABLE,No sibling in the same topical cluster. Canonical hub. Keep indexable even where the H1 is a brand line rather than the keyword.,How discovery topics relate to the catalog
/discover/b2b-fabric-sourcing-on-fabstitch/,Discover,semantic_landing,B2B fabric sourcing on FabStitch,B2B fabric sourcing,sourcing; FabStitch,commercial,473,91,STRONG DIFFERENTIATION,/discover/b2b-fabric-sourcing-on-fabstitch/,included,1,5,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,A,KEEP INDEXABLE,Body stays distinct from the nearest discover:commercial sibling /discover/preparing-a-fabric-inquiry/ (9% entity-normalized overlap).,What this means | Why it matters when sourcing | Applying B2B fabric sourcing on FabStitch | What to avoid and how to choose
/discover/breathable-activewear-piece-fabric/,Discover,semantic_landing,Breathable Fabric for Activewear,breathable activewear piece fabric,breathable fabric for activewear,commercial_investigation,490,40,REVIEW,/discover/breathable-activewear-piece-fabric/,included,1,8,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,B,IMPROVE,Partial overlap with /discover/premium-activewear-piece-fabric/ (60% entity-normalized). Same intent label.,What activewear demand from cloth | How to judge breathable fabric responsibly | Breathable choices for activewear | How to shortlist on FabStitch | Applying this to activewear
/discover/breathable-blazer-fabric/,Discover,semantic_landing,Breathable Fabric for Blazers,breathable blazer fabric,breathable fabric for blazers,commercial_investigation,509,37,HIGH OVERLAP,/discover/breathable-blazer-fabric/,included,1,8,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/structured-blazer-fabric/ (63% after entity names are normalized) but the query is different (breathable blazer fabric vs nearest). Text similarity alone is not treated as a duplicate.,Blazer requirements that change the shortlist | Breathable as a selection filter | Breathable choices for blazers | A practical discovery path | Applying this to blazers
/discover/breathable-blouse-fabric/,Discover,semantic_landing,Breathable Fabric for Blouses,breathable blouse fabric,breathable fabric for blouses,commercial_investigation,499,38,HIGH OVERLAP,/discover/breathable-blouse-fabric/,included,1,8,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/flowy-blouse-fabric/ (62% after entity names are normalized) but the query is different (breathable blouse fabric vs nearest). Text similarity alone is not treated as a duplicate.,Blouse requirements that change the shortlist | Breathable as a selection filter | Breathable choices for blouses | A practical discovery path | Applying this to blouses
/discover/breathable-canvas-fabric/,Discover,semantic_landing,Breathable Canvas Fabric,breathable canvas fabric,canvas breathable fabric,commercial_investigation,569,37,HIGH OVERLAP,/discover/breathable-canvas-fabric/,included,1,7,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/lightweight-canvas-fabric/ (63% after entity names are normalized) but the query is different (breathable canvas fabric vs nearest). Text similarity alone is not treated as a duplicate.,Canvas fabric beyond the fibre name | How to judge breathable fabric responsibly | How breathable shows up in canvas | How to shortlist on FabStitch | Buyer notes for canvas
/discover/breathable-canvas-jackets/,Discover,semantic_landing,Breathable Canvas for Jackets,breathable canvas fabric for jackets,breathable canvas jacket fabric,commercial_investigation,717,24,HIGH OVERLAP,/discover/breathable-canvas-jackets/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/structured-canvas-jackets/ (76% after entity names are normalized) but the query is different (breathable canvas fabric for jackets vs nearest). Text similarity alone is not treated as a duplicate.,Canvas fabric beyond the fibre name | What jackets demand from cloth | How to judge breathable fabric responsibly | Canvas for jackets: selection logic | How breathable shows up in canvas | How to shortlist on FabStitch
/discover/breathable-canvas-trousers/,Discover,semantic_landing,Breathable Canvas for Trousers,breathable canvas fabric for trousers,breathable canvas trouser fabric,commercial_investigation,730,25,HIGH OVERLAP,/discover/breathable-canvas-trousers/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/durable-canvas-trousers/ (75% after entity names are normalized) but the query is different (breathable canvas fabric for trousers vs nearest). Text similarity alone is not treated as a duplicate.,What canvas fabric is in practice | Trouser requirements that change the shortlist | Breathable as a selection filter | When canvas fits trousers | How breathable shows up in canvas | A practical discovery path
/discover/breathable-canvas-workwear/,Discover,semantic_landing,Breathable Canvas for Workwear,breathable canvas fabric for workwear,breathable canvas workwear piece fabric,commercial_investigation,670,27,HIGH OVERLAP,/discover/breathable-canvas-workwear/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/premium-canvas-workwear/ (73% after entity names are normalized) but the query is different (breathable canvas fabric for workwear vs nearest). Text similarity alone is not treated as a duplicate.,What canvas fabric is in practice | Workwear piece requirements that change the shortlist | Breathable as a selection filter | When canvas fits workwear | How breathable shows up in canvas | A practical discovery path
/discover/breathable-chiffon-blouses/,Discover,semantic_landing,Breathable Chiffon for Blouses,breathable chiffon fabric for blouses,breathable chiffon blouse fabric,commercial_investigation,692,34,HIGH OVERLAP,/discover/breathable-chiffon-blouses/,included,1,10,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/structured-chiffon-blouses/ (66% after entity names are normalized) but the query is different (breathable chiffon fabric for blouses vs nearest). Text similarity alone is not treated as a duplicate.,What chiffon fabric is in practice | Blouse requirements that change the shortlist | Breathable as a selection filter | When chiffon fits blouses | How breathable shows up in chiffon | A practical discovery path
/discover/breathable-chiffon-dresses/,Discover,semantic_landing,Breathable Chiffon for Dresses,breathable chiffon fabric for dresses,breathable chiffon dress fabric,commercial_investigation,721,24,HIGH OVERLAP,/discover/breathable-chiffon-dresses/,included,1,11,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/durable-chiffon-dresses/ (76% after entity names are normalized) but the query is different (breathable chiffon fabric for dresses vs nearest). Text similarity alone is not treated as a duplicate.,What chiffon fabric is in practice | Dress requirements that change the shortlist | Breathable as a selection filter | When chiffon fits dresses | How breathable shows up in chiffon | A practical discovery path
/discover/breathable-chiffon-fabric/,Discover,semantic_landing,Breathable Chiffon Fabric,breathable chiffon fabric,chiffon breathable fabric,commercial_investigation,559,34,HIGH OVERLAP,/discover/breathable-chiffon-fabric/,included,1,8,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/opaque-chiffon-fabric/ (66% after entity names are normalized) but the query is different (breathable chiffon fabric vs nearest). Text similarity alone is not treated as a duplicate.,What chiffon fabric is in practice | Breathable as a selection filter | How breathable shows up in chiffon | A practical discovery path | Buyer notes for chiffon
/discover/breathable-coat-fabric/,Discover,semantic_landing,Breathable Fabric for Coats,breathable coat fabric,breathable fabric for coats,commercial_investigation,498,39,HIGH OVERLAP,/discover/breathable-coat-fabric/,included,1,8,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/durable-coat-fabric/ (61% after entity names are normalized) but the query is different (breathable coat fabric vs nearest). Text similarity alone is not treated as a duplicate.,Building a coat fabric brief | What “breathable” should mean in a fabric brief | Breathable choices for coats | From brief to inquiry | Applying this to coats
/discover/breathable-cotton-blouses/,Discover,semantic_landing,Breathable Cotton for Blouses,breathable cotton fabric for blouses,breathable cotton blouse fabric,commercial_investigation,764,25,HIGH OVERLAP,/discover/breathable-cotton-blouses/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/soft-cotton-blouses/ (75% after entity names are normalized) but the query is different (breathable cotton fabric for blouses vs nearest). Text similarity alone is not treated as a duplicate.,What cotton fabric is in practice | Blouse requirements that change the shortlist | Breathable as a selection filter | When cotton fits blouses | How breathable shows up in cotton | A practical discovery path
/discover/breathable-cotton-dresses/,Discover,semantic_landing,Breathable Cotton for Dresses,breathable cotton fabric for dresses,breathable cotton dress fabric,commercial_investigation,795,23,HIGH OVERLAP,/discover/breathable-cotton-dresses/,included,1,10,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/premium-cotton-dresses/ (77% after entity names are normalized) but the query is different (breathable cotton fabric for dresses vs nearest). Text similarity alone is not treated as a duplicate.,Cotton fabric beyond the fibre name | What dresses demand from cloth | How to judge breathable fabric responsibly | Cotton for dresses: selection logic | How breathable shows up in cotton | How to shortlist on FabStitch
/discover/breathable-cotton-fabric/,Discover,semantic_landing,Breathable Cotton Fabric,breathable cotton fabric,cotton breathable fabric,commercial_investigation,670,31,HIGH OVERLAP,/discover/breathable-cotton-fabric/,included,1,7,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/opaque-cotton-fabric/ (69% after entity names are normalized) but the query is different (breathable cotton fabric vs nearest). Text similarity alone is not treated as a duplicate.,Understanding cotton as a sourcing family | What “breathable” should mean in a fabric brief | How breathable shows up in cotton | From brief to inquiry | Buyer notes for cotton
/discover/breathable-cotton-shirts/,Discover,semantic_landing,Breathable Cotton for Shirts,breathable cotton fabric for shirts,breathable cotton shirt fabric,commercial_investigation,810,22,HIGH OVERLAP,/discover/breathable-cotton-shirts/,included,1,11,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/structured-cotton-shirts/ (78% after entity names are normalized) but the query is different (breathable cotton fabric for shirts vs nearest). Text similarity alone is not treated as a duplicate.,Cotton fabric beyond the fibre name | What shirts demand from cloth | How to judge breathable fabric responsibly | Cotton for shirts: selection logic | How breathable shows up in cotton | How to shortlist on FabStitch
/discover/breathable-cotton-trousers/,Discover,semantic_landing,Breathable Cotton for Trousers,breathable cotton fabric for trousers,breathable cotton trouser fabric,commercial_investigation,793,23,HIGH OVERLAP,/discover/breathable-cotton-trousers/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/structured-cotton-trousers/ (77% after entity names are normalized) but the query is different (breathable cotton fabric for trousers vs nearest). Text similarity alone is not treated as a duplicate.,What cotton fabric is in practice | Trouser requirements that change the shortlist | Breathable as a selection filter | When cotton fits trousers | How breathable shows up in cotton | A practical discovery path
/discover/breathable-cotton-uniforms/,Discover,semantic_landing,Breathable Cotton for Uniforms,breathable cotton fabric for uniforms,breathable cotton uniform fabric,commercial_investigation,738,23,HIGH OVERLAP,/discover/breathable-cotton-uniforms/,included,1,8,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/structured-cotton-uniforms/ (77% after entity names are normalized) but the query is different (breathable cotton fabric for uniforms vs nearest). Text similarity alone is not treated as a duplicate.,Understanding cotton as a sourcing family | Building a uniform fabric brief | What “breathable” should mean in a fabric brief | Matching cotton to a uniform silhouette | How breathable shows up in cotton | From brief to inquiry
/discover/breathable-crepe-blouses/,Discover,semantic_landing,Breathable Crepe for Blouses,breathable crepe fabric for blouses,breathable crepe blouse fabric,commercial_investigation,710,24,HIGH OVERLAP,/discover/breathable-crepe-blouses/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/structured-crepe-blouses/ (76% after entity names are normalized) but the query is different (breathable crepe fabric for blouses vs nearest). Text similarity alone is not treated as a duplicate.,What crepe fabric is in practice | Blouse requirements that change the shortlist | Breathable as a selection filter | When crepe fits blouses | How breathable shows up in crepe | A practical discovery path
/discover/breathable-crepe-dresses/,Discover,semantic_landing,Breathable Crepe for Dresses,breathable crepe fabric for dresses,breathable crepe dress fabric,commercial_investigation,739,23,HIGH OVERLAP,/discover/breathable-crepe-dresses/,included,1,10,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/structured-crepe-dresses/ (77% after entity names are normalized) but the query is different (breathable crepe fabric for dresses vs nearest). Text similarity alone is not treated as a duplicate.,What crepe fabric is in practice | Dress requirements that change the shortlist | Breathable as a selection filter | When crepe fits dresses | How breathable shows up in crepe | A practical discovery path
/discover/breathable-crepe-fabric/,Discover,semantic_landing,Breathable Crepe Fabric,breathable crepe fabric,crepe breathable fabric,commercial_investigation,589,34,HIGH OVERLAP,/discover/breathable-crepe-fabric/,included,1,7,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/premium-crepe-fabric/ (66% after entity names are normalized) but the query is different (breathable crepe fabric vs nearest). Text similarity alone is not treated as a duplicate.,Understanding crepe as a sourcing family | What “breathable” should mean in a fabric brief | How breathable shows up in crepe | From brief to inquiry | Buyer notes for crepe
/discover/breathable-crepe-suits/,Discover,semantic_landing,Breathable Crepe for Suits,breathable crepe fabric for suits,breathable crepe suit fabric,commercial_investigation,701,25,HIGH OVERLAP,/discover/breathable-crepe-suits/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/premium-crepe-suits/ (75% after entity names are normalized) but the query is different (breathable crepe fabric for suits vs nearest). Text similarity alone is not treated as a duplicate.,What crepe fabric is in practice | Suit requirements that change the shortlist | Breathable as a selection filter | When crepe fits suits | How breathable shows up in crepe | A practical discovery path
/discover/breathable-crepe-trousers/,Discover,semantic_landing,Breathable Crepe for Trousers,breathable crepe fabric for trousers,breathable crepe trouser fabric,commercial_investigation,743,25,HIGH OVERLAP,/discover/breathable-crepe-trousers/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/premium-crepe-trousers/ (75% after entity names are normalized) but the query is different (breathable crepe fabric for trousers vs nearest). Text similarity alone is not treated as a duplicate.,Understanding crepe as a sourcing family | Building a trouser fabric brief | What “breathable” should mean in a fabric brief | Matching crepe to a trouser silhouette | How breathable shows up in crepe | From brief to inquiry
/discover/breathable-denim-fabric/,Discover,semantic_landing,Breathable Denim Fabric,breathable denim fabric,denim breathable fabric,commercial_investigation,633,30,HIGH OVERLAP,/discover/breathable-denim-fabric/,included,1,7,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/performance-denim-fabric/ (70% after entity names are normalized) but the query is different (breathable denim fabric vs nearest). Text similarity alone is not treated as a duplicate.,Understanding denim as a sourcing family | What “breathable” should mean in a fabric brief | How breathable shows up in denim | From brief to inquiry | Buyer notes for denim
/discover/breathable-denim-jackets/,Discover,semantic_landing,Breathable Denim for Jackets,breathable denim fabric for jackets,breathable denim jacket fabric,commercial_investigation,760,23,HIGH OVERLAP,/discover/breathable-denim-jackets/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/durable-denim-jackets/ (77% after entity names are normalized) but the query is different (breathable denim fabric for jackets vs nearest). Text similarity alone is not treated as a duplicate.,Understanding denim as a sourcing family | Building a jacket fabric brief | What “breathable” should mean in a fabric brief | Matching denim to a jacket silhouette | How breathable shows up in denim | From brief to inquiry
/discover/breathable-denim-trousers/,Discover,semantic_landing,Breathable Denim for Trousers,breathable denim fabric for trousers,breathable denim trouser fabric,commercial_investigation,773,23,HIGH OVERLAP,/discover/breathable-denim-trousers/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/structured-denim-trousers/ (77% after entity names are normalized) but the query is different (breathable denim fabric for trousers vs nearest). Text similarity alone is not treated as a duplicate.,Denim fabric beyond the fibre name | What trousers demand from cloth | How to judge breathable fabric responsibly | Denim for trousers: selection logic | How breathable shows up in denim | How to shortlist on FabStitch
/discover/breathable-denim-workwear/,Discover,semantic_landing,Breathable Denim for Workwear,breathable denim fabric for workwear,breathable denim workwear piece fabric,commercial_investigation,716,24,HIGH OVERLAP,/discover/breathable-denim-workwear/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/structured-denim-workwear/ (76% after entity names are normalized) but the query is different (breathable denim fabric for workwear vs nearest). Text similarity alone is not treated as a duplicate.,Understanding denim as a sourcing family | Building a workwear piece fabric brief | What “breathable” should mean in a fabric brief | Matching denim to a workwear piece silhouette | How breathable shows up in denim | From brief to inquiry
/discover/breathable-dress-fabric/,Discover,semantic_landing,Breathable Fabric for Dresses,breathable dress fabric,breathable fabric for dresses,commercial_investigation,550,34,HIGH OVERLAP,/discover/breathable-dress-fabric/,included,1,9,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/sheer-dress-fabric/ (66% after entity names are normalized) but the query is different (breathable dress fabric vs nearest). Text similarity alone is not treated as a duplicate.,What dresses demand from cloth | How to judge breathable fabric responsibly | Breathable choices for dresses | How to shortlist on FabStitch | Applying this to dresses
/discover/breathable-fabric/,Discover,semantic_landing,Breathable Fabric Explained,breathable fabric,breathable fabrics,informational,479,51,REVIEW,/discover/breathable-fabric/,included,1,6,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,B,IMPROVE,Partial overlap with /discover/flowy-fabric/ (49% entity-normalized). Same intent label.,How to judge breathable fabric responsibly | How to shortlist on FabStitch | Putting breathable into a sourcing workflow | breathable | How to use the note
/discover/breathable-french-terry-activewear/,Discover,semantic_landing,Breathable French terry for Activewear,breathable french terry fabric for activewear,breathable french terry activewear piece fabric,commercial_investigation,709,26,HIGH OVERLAP,/discover/breathable-french-terry-activewear/,included,1,10,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Same intent and close keyword as /discover/durable-french-terry-activewear/. Keep this URL as the primary and merge the weaker sibling into it.,What french terry fabric is in practice | Activewear piece requirements that change the shortlist | Breathable as a selection filter | When french terry fits activewear | How breathable shows up in french terry | A practical discovery path
/discover/breathable-french-terry-fabric/,Discover,semantic_landing,Breathable French terry Fabric,breathable french terry fabric,french terry breathable fabric,commercial_investigation,585,34,HIGH OVERLAP,/discover/breathable-french-terry-fabric/,included,1,8,3,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,C,IMPROVE,Template overlap with /discover/opaque-french-terry-fabric/ (66% after entity names are normalized) but the query is different (breathable french terry fabric vs nearest). Text similarity alone is not treated as a duplicate.,Understanding french terry as a sourcing family | What “breathable” should mean in a fabric brief | How breathable shows up in french terry | From brief to inquiry | Buyer notes for french terry
