url,page_type,cluster,current_indexable,current_noindex,canonical,sitemap_member,http_status,robots_allowed,meta_robots,x_robots,title,h1,word_count,unique_content,duplicate_risk,internal_inlinks,internal_outlinks,crawl_depth,orphan,search_intent,primary_topic,image,schema,gsc_status_if_known,recommended_index_action,reason
/collections/,collection_hub,collection_hub,yes,no,/collections/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls","Fabric Collections: Cotton, Linen, Silk",Start with the material.,315,distinct_or_catalog,low,2266,28,1,no,commercial_investigation,fabric collections,/media/fabrics/silk-chiffon-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/best-for/,best_for_hub,best_for_hub,yes,no,/fabrics/best-for/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls","Fabrics by Use: Shirts, Dresses & More",Find fabric for what you are making.,313,distinct_or_catalog,low,2266,26,1,no,commercial_investigation,best fabrics by use,,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/guides/,guide_hub,guide_hub,yes,no,/guides/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls","Fabric Guides for Weight, Weave & Use",Fabric knowledge for better sourcing.,303,distinct_or_catalog,low,2266,27,1,no,informational,fabric education,,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/help/,help_hub,help_hub,yes,no,/help/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls","FabStitch Help: Search, Inquiries, Account",How can we help?,,distinct_or_catalog,low,2266,28,1,no,support,FabStitch help,,Organization|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/about/,brand,brand,yes,no,/about/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",About FabStitch: Fabric Discovery & Sourcing,"Material decisions, made clearer.",313,distinct_or_catalog,low,2266,13,1,no,brand,about FabStitch,,Organization|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/how-it-works/,brand,brand,yes,no,/how-it-works/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",How FabStitch Works: Discover & Source,From an idea to the right fabric.,306,distinct_or_catalog,low,2266,13,1,no,navigational,how FabStitch works,,Organization,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/contact/,brand,brand,yes,no,/contact/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Contact FabStitch about Fabric Sourcing,Let’s talk fabrics.,307,distinct_or_catalog,low,2266,13,1,no,navigational,contact FabStitch,,Organization,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/european-flax-linen/,fabric,fabric,yes,no,/fabrics/european-flax-linen/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",European Flax Linen Sourcing Notes,European Flax Linen,405,distinct_or_catalog,low,21,17,2,no,commercial_investigation,European Flax Linen fabric,/media/fabrics/european-flax-linen-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/linen-cotton/,fabric,fabric,yes,no,/fabrics/linen-cotton/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Linen–Cotton for apparel sourcing,Linen–Cotton,407,distinct_or_catalog,low,11,17,2,no,commercial_investigation,Linen–Cotton fabric,/media/fabrics/linen-cotton-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/cotton-poplin/,fabric,fabric,yes,no,/fabrics/cotton-poplin/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Cotton Poplin for apparel sourcing,Cotton Poplin,381,distinct_or_catalog,low,16,16,2,no,commercial_investigation,Cotton Poplin fabric,/media/fabrics/cotton-poplin-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/cotton-voile/,fabric,fabric,yes,no,/fabrics/cotton-voile/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Cotton Voile for apparel sourcing,Cotton Voile,381,distinct_or_catalog,low,10,16,2,no,commercial_investigation,Cotton Voile fabric,/media/fabrics/cotton-voile-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/cotton-seersucker/,fabric,fabric,yes,no,/fabrics/cotton-seersucker/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Cotton Seersucker for apparel sourcing,Cotton Seersucker,395,distinct_or_catalog,low,4,15,2,no,commercial_investigation,Cotton Seersucker fabric,/media/fabrics/cotton-seersucker-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/silk-chiffon/,fabric,fabric,yes,no,/fabrics/silk-chiffon/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Silk Chiffon for apparel sourcing,Silk Chiffon,393,distinct_or_catalog,low,14,16,2,no,commercial_investigation,Silk Chiffon fabric,/media/fabrics/silk-chiffon-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/silk-georgette/,fabric,fabric,yes,no,/fabrics/silk-georgette/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Silk Georgette for apparel sourcing,Silk Georgette,401,distinct_or_catalog,low,9,17,2,no,commercial_investigation,Silk Georgette fabric,/media/fabrics/silk-georgette-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/pointelle-knit/,fabric,fabric,yes,no,/fabrics/pointelle-knit/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Pointelle Knit for apparel sourcing,Pointelle Knit,391,distinct_or_catalog,low,7,16,2,no,commercial_investigation,Pointelle Knit fabric,/media/fabrics/pointelle-knit-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/stretch-woven-compression/,fabric,fabric,yes,no,/fabrics/stretch-woven-compression/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Stretch-Woven Compression Sourcing Notes,Stretch-Woven Compression,386,distinct_or_catalog,low,9,16,2,no,commercial_investigation,Stretch-Woven Compression fabric,/media/fabrics/stretch-woven-compression-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/melton/,fabric,fabric,yes,no,/fabrics/melton/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Melton for apparel sourcing buyer notes,Melton,385,distinct_or_catalog,low,8,16,2,no,commercial_investigation,Melton fabric,/media/fabrics/melton-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/boiled-wool/,fabric,fabric,yes,no,/fabrics/boiled-wool/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Boiled Wool for apparel sourcing buyer notes,Boiled Wool,388,distinct_or_catalog,low,7,17,2,no,commercial_investigation,Boiled Wool fabric,/media/fabrics/boiled-wool-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/lightweight-denim/,fabric,fabric,yes,no,/fabrics/lightweight-denim/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Lightweight Denim for apparel sourcing,Lightweight Denim,397,distinct_or_catalog,low,11,15,2,no,commercial_investigation,Lightweight Denim fabric,/media/fabrics/lightweight-denim-primary.webp,Organization|Product|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/linen-lightweight/,collection,collection,yes,no,/collections/linen-lightweight/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Linen Fabric for Clothing & Apparel Fabric Notes,Linen Fabric for Clothing & Apparel,959,distinct_or_catalog,low,103,21,2,no,commercial_investigation,linen fabric,/media/fabrics/european-flax-linen-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/cotton/,collection,collection,yes,no,/collections/cotton/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Cotton Fabric for Clothing & Apparel for Apparel,Cotton Fabric for Clothing & Apparel,2507,distinct_or_catalog,low,280,21,2,no,commercial_investigation,cotton fabric,/media/fabrics/cotton-poplin-primary.webp,Organization|CollectionPage|FAQPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/silk-sheer/,collection,collection,yes,no,/collections/silk-sheer/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Silk Fabric for Apparel & Occasionwear Use Notes,Silk Fabric for Apparel & Occasionwear,1219,distinct_or_catalog,low,230,19,2,no,commercial_investigation,silk fabric,/media/fabrics/silk-chiffon-primary.webp,Organization|CollectionPage|FAQPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/tailoring/,collection,collection,yes,no,/collections/tailoring/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Suiting and Tailoring Fabric Notes Sourcing Notes,Suiting and Tailoring Fabric Notes,923,distinct_or_catalog,low,108,17,2,no,commercial_investigation,tailoring fabric,/media/fabrics/wool-silk-bi-stretch-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/knitwear/,collection,collection,yes,no,/collections/knitwear/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls","Knitwear, Jersey and French Terry Sourcing Notes","Knitwear, Jersey and French Terry",1340,distinct_or_catalog,low,155,18,2,no,commercial_investigation,knitted fabric,/media/fabrics/pointelle-knit-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/performance/,collection,collection,yes,no,/collections/performance/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Activewear Performance Cloth Notes Sourcing Notes,Activewear Performance Cloth Notes,514,distinct_or_catalog,low,6,17,2,no,commercial_investigation,performance fabric,/media/fabrics/stretch-woven-compression-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/aw-textures/,collection,collection,yes,no,/collections/aw-textures/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Heavy Wool and Brushed Cloth Notes Sourcing Notes,Heavy Wool and Brushed Cloth Notes,684,distinct_or_catalog,low,6,19,2,no,commercial_investigation,coating fabric,/media/fabrics/melton-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/velvet-pile/,collection,collection,yes,no,/collections/velvet-pile/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls","Velvet, Corduroy and Pile Fabrics Sourcing Notes","Velvet, Corduroy and Pile Fabrics",472,distinct_or_catalog,low,73,17,2,no,commercial_investigation,velvet fabric,/media/fabrics/silk-viscose-velvet-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/structured-classics/,collection,collection,yes,no,/collections/structured-classics/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls","Tweed, Gabardine and Classic Cloth Sourcing Notes","Tweed, Gabardine and Classic Cloth",524,distinct_or_catalog,low,2,16,2,no,commercial_investigation,tweed fabric,/media/fabrics/donegal-tweed-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/technical-outerwear/,collection,collection,yes,no,/collections/technical-outerwear/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Reading Technical Outerwear Cloth Sourcing Notes,Reading Technical Outerwear Cloth,519,distinct_or_catalog,low,3,17,2,no,commercial_investigation,technical outerwear fabric,/media/fabrics/recycled-nylon-ripstop-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/denim/,collection,collection,yes,no,/collections/denim/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Denim Fabric for Jeans & Apparel Sourcing Notes,Denim Fabric for Jeans & Apparel,705,distinct_or_catalog,low,88,19,2,no,commercial_investigation,denim fabric,/media/fabrics/lightweight-denim-primary.webp,Organization|CollectionPage|FAQPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/home-contract/,collection,collection,yes,no,/collections/home-contract/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Home Textile and Upholstery Cloth Sourcing Notes,Home Textile and Upholstery Cloth,853,distinct_or_catalog,low,2,17,2,no,commercial_investigation,upholstery fabric,/media/fabrics/heavy-linen-upholstery-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/spring-summer-2027/,seasonal_collection,seasonal_collection,yes,no,/collections/spring-summer-2027/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Spring / Summer 2027 fabrics Sourcing Notes,Spring / Summer 2027 fabrics,4828,distinct_or_catalog,low,2,30,2,no,commercial_investigation,Spring / Summer 2027 fabrics,/media/fabrics/european-flax-linen-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/autumn-winter-2027-28/,seasonal_collection,seasonal_collection,yes,no,/collections/autumn-winter-2027-28/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Autumn / Winter 2027–28 fabrics Sourcing Notes,Autumn / Winter 2027–28 fabrics,2799,distinct_or_catalog,low,2,23,2,no,commercial_investigation,Autumn / Winter 2027–28 fabrics,/media/fabrics/melton-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/collections/home-contract-2027-28/,seasonal_collection,seasonal_collection,yes,no,/collections/home-contract-2027-28/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Home and contract fabrics for 2027–28 for Apparel,Home and contract fabrics for 2027–28,695,distinct_or_catalog,low,2,16,2,no,commercial_investigation,Home and contract fabrics for 2027–28,/media/fabrics/upholstery-boucle-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/best-for/shirts/,best_for,best_for,yes,no,/fabrics/best-for/shirts/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for shirts Sourcing Notes,Fabrics for shirts,1514,distinct_or_catalog,low,138,32,1,no,commercial_investigation,Fabrics for shirts,/media/fabrics/european-flax-linen-primary.webp,Organization|CollectionPage|BreadcrumbList,production_was_noindex_not_found_before_fix,KEEP_INDEXABLE_AFTER_LOCAL_FALLBACK_FIX,Production Best For SEO slug mismatched API application slug; frontend now falls back to local catalog.
/fabrics/best-for/womens-clothing/,best_for,best_for,yes,no,/fabrics/best-for/womens-clothing/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for women's clothing Sourcing Notes,Fabrics for women's clothing,2176,distinct_or_catalog,low,119,22,2,no,commercial_investigation,Fabrics for women's clothing,/media/fabrics/european-flax-linen-primary.webp,Organization|CollectionPage|BreadcrumbList,production_was_noindex_not_found_before_fix,KEEP_INDEXABLE_AFTER_LOCAL_FALLBACK_FIX,Production Best For SEO slug mismatched API application slug; frontend now falls back to local catalog.
/fabrics/best-for/dresses/,best_for,best_for,yes,no,/fabrics/best-for/dresses/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for dresses Sourcing Notes,Fabrics for dresses,1634,distinct_or_catalog,low,189,29,1,no,commercial_investigation,Fabrics for dresses,/media/fabrics/european-flax-linen-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/best-for/trousers/,best_for,best_for,yes,no,/fabrics/best-for/trousers/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for trousers Sourcing Notes,Fabrics for trousers,965,distinct_or_catalog,low,165,24,2,no,commercial_investigation,Fabrics for trousers,/media/fabrics/european-flax-linen-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/best-for/tailoring/,best_for,best_for,yes,no,/fabrics/best-for/tailoring/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for tailoring Sourcing Notes,Fabrics for tailoring,695,distinct_or_catalog,low,68,22,2,no,commercial_investigation,Fabrics for tailoring,/media/fabrics/linen-viscose-primary.webp,Organization|CollectionPage|BreadcrumbList,production_was_noindex_not_found_before_fix,KEEP_INDEXABLE_AFTER_LOCAL_FALLBACK_FIX,Production Best For SEO slug mismatched API application slug; frontend now falls back to local catalog.
/fabrics/best-for/activewear/,best_for,best_for,yes,no,/fabrics/best-for/activewear/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for activewear Sourcing Notes,Fabrics for activewear,1132,distinct_or_catalog,low,84,21,2,no,commercial_investigation,Fabrics for activewear,/media/fabrics/stretch-woven-compression-primary.webp,Organization|CollectionPage|BreadcrumbList,production_was_noindex_not_found_before_fix,KEEP_INDEXABLE_AFTER_LOCAL_FALLBACK_FIX,Production Best For SEO slug mismatched API application slug; frontend now falls back to local catalog.
/fabrics/best-for/knitwear/,best_for,best_for,yes,no,/fabrics/best-for/knitwear/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for knitwear Sourcing Notes,Fabrics for knitwear,1181,distinct_or_catalog,low,60,18,2,no,commercial_investigation,Fabrics for knitwear,/media/fabrics/linen-silk-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/best-for/resortwear/,best_for,best_for,yes,no,/fabrics/best-for/resortwear/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for resortwear Sourcing Notes,Fabrics for resortwear,416,distinct_or_catalog,low,9,19,2,no,commercial_investigation,Fabrics for resortwear,/media/fabrics/linen-silk-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/best-for/occasionwear/,best_for,best_for,yes,no,/fabrics/best-for/occasionwear/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for occasionwear Sourcing Notes,Fabrics for occasionwear,385,distinct_or_catalog,low,7,18,2,no,commercial_investigation,Fabrics for occasionwear,/media/fabrics/silk-taffeta-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/best-for/outerwear/,best_for,best_for,yes,no,/fabrics/best-for/outerwear/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for outerwear Sourcing Notes,Fabrics for outerwear,646,distinct_or_catalog,low,148,22,2,no,commercial_investigation,Fabrics for outerwear,/media/fabrics/silk-taffeta-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/best-for/home-textiles/,best_for,best_for,yes,no,/fabrics/best-for/home-textiles/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabrics for home textiles Sourcing Notes,Fabrics for home textiles,804,distinct_or_catalog,low,5,18,2,no,commercial_investigation,Fabrics for home textiles,/media/fabrics/silk-dupion-primary.webp,Organization|CollectionPage|BreadcrumbList,production_was_noindex_not_found_before_fix,KEEP_INDEXABLE_AFTER_LOCAL_FALLBACK_FIX,Production Best For SEO slug mismatched API application slug; frontend now falls back to local catalog.
