url_a,url_b,cluster_a,cluster_b,similarity_level,shared_topic,shared_sections,unique_information_a,unique_information_b,canonical_a,canonical_b,recommended_action
/discover/knit-silk-fabric/,/discover/knit-crepe-fabric/,construction,construction,moderate_overlap,knit silk fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-silk-fabric/,/discover/knit-crepe-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-wool-fabric/,/discover/knit-wool-fabric/,construction,construction,high_overlap,woven wool fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-wool-fabric/,/discover/knit-wool-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-wool-fabric/,/discover/knit-chiffon-fabric/,construction,construction,moderate_overlap,knit wool fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-wool-fabric/,/discover/knit-chiffon-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-denim-fabric/,/discover/woven-oxford-fabric/,construction,construction,moderate_overlap,woven denim fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-denim-fabric/,/discover/woven-oxford-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-polyester-fabric/,/discover/knit-polyester-fabric/,construction,construction,high_overlap,woven polyester fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-polyester-fabric/,/discover/knit-polyester-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-polyester-fabric/,/discover/knit-chiffon-fabric/,construction,construction,moderate_overlap,knit polyester fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-polyester-fabric/,/discover/knit-chiffon-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-viscose-fabric/,/discover/knit-viscose-fabric/,construction,construction,high_overlap,woven viscose fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-viscose-fabric/,/discover/knit-viscose-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-viscose-fabric/,/discover/knit-chiffon-fabric/,construction,construction,moderate_overlap,knit viscose fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-viscose-fabric/,/discover/knit-chiffon-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-rayon-fabric/,/discover/knit-rayon-fabric/,construction,construction,high_overlap,woven rayon fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-rayon-fabric/,/discover/knit-rayon-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-rayon-fabric/,/discover/knit-chiffon-fabric/,construction,construction,moderate_overlap,knit rayon fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-rayon-fabric/,/discover/knit-chiffon-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-jersey-fabric/,/discover/knit-chiffon-fabric/,construction,construction,moderate_overlap,knit jersey fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-jersey-fabric/,/discover/knit-chiffon-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-velvet-fabric/,/discover/knit-velvet-fabric/,construction,construction,high_overlap,woven velvet fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-velvet-fabric/,/discover/knit-velvet-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-velvet-fabric/,/discover/knit-chiffon-fabric/,construction,construction,moderate_overlap,knit velvet fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-velvet-fabric/,/discover/knit-chiffon-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-chiffon-fabric/,/discover/knit-chiffon-fabric/,construction,construction,high_overlap,woven chiffon fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-chiffon-fabric/,/discover/knit-chiffon-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-chiffon-fabric/,/discover/knit-georgette-fabric/,construction,construction,moderate_overlap,knit chiffon fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-chiffon-fabric/,/discover/knit-georgette-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-georgette-fabric/,/discover/knit-georgette-fabric/,construction,construction,high_overlap,woven georgette fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-georgette-fabric/,/discover/knit-georgette-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-georgette-fabric/,/discover/knit-french-terry-fabric/,construction,construction,moderate_overlap,knit georgette fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-georgette-fabric/,/discover/knit-french-terry-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-poplin-fabric/,/discover/woven-oxford-fabric/,construction,construction,moderate_overlap,woven poplin fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-poplin-fabric/,/discover/woven-oxford-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-satin-fabric/,/discover/knit-satin-fabric/,construction,construction,high_overlap,woven satin fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-satin-fabric/,/discover/knit-satin-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-satin-fabric/,/discover/knit-lyocell-fabric/,construction,construction,moderate_overlap,knit satin fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-satin-fabric/,/discover/knit-lyocell-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-crepe-fabric/,/discover/knit-crepe-fabric/,construction,construction,high_overlap,woven crepe fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-crepe-fabric/,/discover/knit-crepe-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-crepe-fabric/,/discover/knit-french-terry-fabric/,construction,construction,moderate_overlap,knit crepe fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-crepe-fabric/,/discover/knit-french-terry-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-canvas-fabric/,/discover/woven-twill-fabric/,construction,construction,moderate_overlap,woven canvas fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-canvas-fabric/,/discover/woven-twill-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-oxford-fabric/,/discover/woven-twill-fabric/,construction,construction,moderate_overlap,woven oxford fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-oxford-fabric/,/discover/woven-twill-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-twill-fabric/,/discover/woven-lyocell-fabric/,construction,construction,moderate_overlap,woven twill fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-twill-fabric/,/discover/woven-lyocell-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-french-terry-fabric/,/discover/knit-lyocell-fabric/,construction,construction,moderate_overlap,knit french terry fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-french-terry-fabric/,/discover/knit-lyocell-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-lyocell-fabric/,/discover/knit-lyocell-fabric/,construction,construction,high_overlap,woven lyocell fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-lyocell-fabric/,/discover/knit-lyocell-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/cotton-shirts/,/discover/cotton-dresses/,material_use,material_use,moderate_overlap,cotton fabric for shirts,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/cotton-shirts/,/discover/cotton-dresses/,KEEP as supporting note; parent hub owns the head term
/discover/cotton-dresses/,/discover/cotton-uniforms/,material_use,material_use,moderate_overlap,cotton fabric for dresses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/cotton-dresses/,/discover/cotton-uniforms/,KEEP as supporting note; parent hub owns the head term
/discover/cotton-trousers/,/discover/cotton-uniforms/,material_use,material_use,moderate_overlap,cotton fabric for trousers,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/cotton-trousers/,/discover/cotton-uniforms/,KEEP as supporting note; parent hub owns the head term
/discover/cotton-uniforms/,/discover/cotton-blouses/,material_use,material_use,high_overlap,cotton fabric for uniforms,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/cotton-uniforms/,/discover/cotton-blouses/,KEEP as supporting note; parent hub owns the head term
/discover/cotton-blouses/,/discover/rayon-blouses/,material_use,material_use,moderate_overlap,cotton fabric for blouses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/cotton-blouses/,/discover/rayon-blouses/,KEEP as supporting note; parent hub owns the head term
/discover/cotton-skirts/,/discover/rayon-skirts/,material_use,material_use,moderate_overlap,cotton fabric for skirts,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/cotton-skirts/,/discover/rayon-skirts/,KEEP as supporting note; parent hub owns the head term
/discover/linen-shirts/,/discover/linen-dresses/,material_use,material_use,moderate_overlap,linen fabric for shirts,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/linen-shirts/,/discover/linen-dresses/,KEEP as supporting note; parent hub owns the head term
/discover/linen-dresses/,/discover/velvet-dresses/,material_use,material_use,moderate_overlap,linen fabric for dresses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/linen-dresses/,/discover/velvet-dresses/,KEEP as supporting note; parent hub owns the head term
/discover/linen-trousers/,/discover/linen-blouses/,material_use,material_use,moderate_overlap,linen fabric for trousers,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/linen-trousers/,/discover/linen-blouses/,KEEP as supporting note; parent hub owns the head term
/discover/linen-blouses/,/discover/viscose-blouses/,material_use,material_use,moderate_overlap,linen fabric for blouses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/linen-blouses/,/discover/viscose-blouses/,KEEP as supporting note; parent hub owns the head term
/discover/linen-skirts/,/discover/viscose-skirts/,material_use,material_use,moderate_overlap,linen fabric for skirts,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/linen-skirts/,/discover/viscose-skirts/,KEEP as supporting note; parent hub owns the head term
/discover/silk-dresses/,/discover/silk-blouses/,material_use,material_use,moderate_overlap,silk fabric for dresses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/silk-dresses/,/discover/silk-blouses/,KEEP as supporting note; parent hub owns the head term
/discover/silk-blouses/,/discover/silk-skirts/,material_use,material_use,moderate_overlap,silk fabric for blouses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/silk-blouses/,/discover/silk-skirts/,KEEP as supporting note; parent hub owns the head term
/discover/silk-skirts/,/discover/rayon-skirts/,material_use,material_use,moderate_overlap,silk fabric for skirts,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/silk-skirts/,/discover/rayon-skirts/,KEEP as supporting note; parent hub owns the head term
/discover/wool-trousers/,/discover/wool-suits/,material_use,material_use,moderate_overlap,wool fabric for trousers,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/wool-trousers/,/discover/wool-suits/,KEEP as supporting note; parent hub owns the head term
/discover/wool-jackets/,/discover/wool-blazers/,material_use,material_use,moderate_overlap,wool fabric for jackets,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/wool-jackets/,/discover/wool-blazers/,KEEP as supporting note; parent hub owns the head term
/discover/wool-coats/,/discover/wool-suits/,material_use,material_use,moderate_overlap,wool fabric for coats,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/wool-coats/,/discover/wool-suits/,KEEP as supporting note; parent hub owns the head term
/discover/wool-suits/,/discover/wool-blazers/,material_use,material_use,moderate_overlap,wool fabric for suits,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/wool-suits/,/discover/wool-blazers/,KEEP as supporting note; parent hub owns the head term
/discover/wool-blazers/,/discover/wool-knitwear/,material_use,material_use,moderate_overlap,wool fabric for blazers,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/wool-blazers/,/discover/wool-knitwear/,KEEP as supporting note; parent hub owns the head term
/discover/wool-knitwear/,/discover/jersey-knitwear/,material_use,material_use,moderate_overlap,wool fabric for knitwear,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/wool-knitwear/,/discover/jersey-knitwear/,KEEP as supporting note; parent hub owns the head term
/discover/denim-trousers/,/discover/denim-jackets/,material_use,material_use,moderate_overlap,denim fabric for trousers,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/denim-trousers/,/discover/denim-jackets/,KEEP as supporting note; parent hub owns the head term
/discover/denim-jackets/,/discover/denim-workwear/,material_use,material_use,moderate_overlap,denim fabric for jackets,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/denim-jackets/,/discover/denim-workwear/,KEEP as supporting note; parent hub owns the head term
/discover/polyester-dresses/,/discover/polyester-activewear/,material_use,material_use,moderate_overlap,polyester fabric for dresses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/polyester-dresses/,/discover/polyester-activewear/,KEEP as supporting note; parent hub owns the head term
/discover/polyester-uniforms/,/discover/polyester-activewear/,material_use,material_use,moderate_overlap,polyester fabric for uniforms,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/polyester-uniforms/,/discover/polyester-activewear/,KEEP as supporting note; parent hub owns the head term
/discover/polyester-activewear/,/discover/polyester-outerwear/,material_use,material_use,moderate_overlap,polyester fabric for activewear,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/polyester-activewear/,/discover/polyester-outerwear/,KEEP as supporting note; parent hub owns the head term
/discover/viscose-shirts/,/discover/viscose-dresses/,material_use,material_use,moderate_overlap,viscose fabric for shirts,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/viscose-shirts/,/discover/viscose-dresses/,KEEP as supporting note; parent hub owns the head term
/discover/viscose-dresses/,/discover/velvet-dresses/,material_use,material_use,moderate_overlap,viscose fabric for dresses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/viscose-dresses/,/discover/velvet-dresses/,KEEP as supporting note; parent hub owns the head term
/discover/viscose-blouses/,/discover/viscose-skirts/,material_use,material_use,moderate_overlap,viscose fabric for blouses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/viscose-blouses/,/discover/viscose-skirts/,KEEP as supporting note; parent hub owns the head term
/discover/rayon-dresses/,/discover/rayon-blouses/,material_use,material_use,moderate_overlap,rayon fabric for dresses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/rayon-dresses/,/discover/rayon-blouses/,KEEP as supporting note; parent hub owns the head term
/discover/rayon-blouses/,/discover/rayon-skirts/,material_use,material_use,moderate_overlap,rayon fabric for blouses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/rayon-blouses/,/discover/rayon-skirts/,KEEP as supporting note; parent hub owns the head term
/discover/jersey-shirts/,/discover/jersey-activewear/,material_use,material_use,moderate_overlap,jersey fabric for shirts,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/jersey-shirts/,/discover/jersey-activewear/,KEEP as supporting note; parent hub owns the head term
/discover/jersey-dresses/,/discover/jersey-activewear/,material_use,material_use,moderate_overlap,jersey fabric for dresses,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/jersey-dresses/,/discover/jersey-activewear/,KEEP as supporting note; parent hub owns the head term
/discover/jersey-activewear/,/discover/jersey-loungewear/,material_use,material_use,moderate_overlap,jersey fabric for activewear,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/jersey-activewear/,/discover/jersey-loungewear/,KEEP as supporting note; parent hub owns the head term
/discover/jersey-loungewear/,/discover/jersey-knitwear/,material_use,material_use,moderate_overlap,jersey fabric for loungewear,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/jersey-loungewear/,/discover/jersey-knitwear/,KEEP as supporting note; parent hub owns the head term
/discover/lightweight-cotton-fabric/,/discover/breathable-cotton-fabric/,material_attribute,material_attribute,moderate_overlap,lightweight cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/lightweight-cotton-fabric/,/discover/breathable-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/heavyweight-cotton-fabric/,/discover/durable-cotton-fabric/,material_attribute,material_attribute,high_overlap,heavyweight cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/heavyweight-cotton-fabric/,/discover/durable-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/breathable-cotton-fabric/,/discover/durable-cotton-fabric/,material_attribute,material_attribute,moderate_overlap,breathable cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/breathable-cotton-fabric/,/discover/durable-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/stretch-cotton-fabric/,/discover/structured-cotton-fabric/,material_attribute,material_attribute,high_overlap,stretch cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/stretch-cotton-fabric/,/discover/structured-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/soft-cotton-fabric/,/discover/performance-cotton-fabric/,material_attribute,material_attribute,high_overlap,soft cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/soft-cotton-fabric/,/discover/performance-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/durable-cotton-fabric/,/discover/flowy-cotton-fabric/,material_attribute,material_attribute,high_overlap,durable cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/durable-cotton-fabric/,/discover/flowy-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/premium-cotton-fabric/,/discover/structured-cotton-fabric/,material_attribute,material_attribute,high_overlap,premium cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/premium-cotton-fabric/,/discover/structured-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/structured-cotton-fabric/,/discover/opaque-cotton-fabric/,material_attribute,material_attribute,high_overlap,structured cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/structured-cotton-fabric/,/discover/opaque-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/flowy-cotton-fabric/,/discover/performance-cotton-fabric/,material_attribute,material_attribute,moderate_overlap,flowy cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/flowy-cotton-fabric/,/discover/performance-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/sheer-cotton-fabric/,/discover/opaque-cotton-fabric/,material_attribute,material_attribute,high_overlap,sheer cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/sheer-cotton-fabric/,/discover/opaque-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/opaque-cotton-fabric/,/discover/performance-cotton-fabric/,material_attribute,material_attribute,moderate_overlap,opaque cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/opaque-cotton-fabric/,/discover/performance-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/performance-cotton-fabric/,/discover/performance-linen-fabric/,material_attribute,material_attribute,moderate_overlap,performance cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/performance-cotton-fabric/,/discover/performance-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/lightweight-linen-fabric/,/discover/lightweight-silk-fabric/,material_attribute,material_attribute,moderate_overlap,lightweight linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/lightweight-linen-fabric/,/discover/lightweight-silk-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/heavyweight-linen-fabric/,/discover/durable-linen-fabric/,material_attribute,material_attribute,high_overlap,heavyweight linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/heavyweight-linen-fabric/,/discover/durable-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/breathable-linen-fabric/,/discover/durable-linen-fabric/,material_attribute,material_attribute,moderate_overlap,breathable linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/breathable-linen-fabric/,/discover/durable-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/stretch-linen-fabric/,/discover/structured-linen-fabric/,material_attribute,material_attribute,moderate_overlap,stretch linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/stretch-linen-fabric/,/discover/structured-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/soft-linen-fabric/,/discover/performance-linen-fabric/,material_attribute,material_attribute,moderate_overlap,soft linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/soft-linen-fabric/,/discover/performance-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/durable-linen-fabric/,/discover/flowy-linen-fabric/,material_attribute,material_attribute,high_overlap,durable linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/durable-linen-fabric/,/discover/flowy-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/premium-linen-fabric/,/discover/structured-linen-fabric/,material_attribute,material_attribute,moderate_overlap,premium linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/premium-linen-fabric/,/discover/structured-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/structured-linen-fabric/,/discover/opaque-linen-fabric/,material_attribute,material_attribute,high_overlap,structured linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/structured-linen-fabric/,/discover/opaque-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/flowy-linen-fabric/,/discover/performance-linen-fabric/,material_attribute,material_attribute,moderate_overlap,flowy linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/flowy-linen-fabric/,/discover/performance-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/sheer-linen-fabric/,/discover/opaque-linen-fabric/,material_attribute,material_attribute,high_overlap,sheer linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/sheer-linen-fabric/,/discover/opaque-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/opaque-linen-fabric/,/discover/performance-linen-fabric/,material_attribute,material_attribute,moderate_overlap,opaque linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/opaque-linen-fabric/,/discover/performance-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/performance-linen-fabric/,/discover/performance-silk-fabric/,material_attribute,material_attribute,moderate_overlap,performance linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/performance-linen-fabric/,/discover/performance-silk-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/lightweight-silk-fabric/,/discover/lightweight-wool-fabric/,material_attribute,material_attribute,moderate_overlap,lightweight silk fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/lightweight-silk-fabric/,/discover/lightweight-wool-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/heavyweight-silk-fabric/,/discover/durable-silk-fabric/,material_attribute,material_attribute,high_overlap,heavyweight silk fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/heavyweight-silk-fabric/,/discover/durable-silk-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/breathable-silk-fabric/,/discover/breathable-wool-fabric/,material_attribute,material_attribute,moderate_overlap,breathable silk fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/breathable-silk-fabric/,/discover/breathable-wool-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/stretch-silk-fabric/,/discover/structured-silk-fabric/,material_attribute,material_attribute,moderate_overlap,stretch silk fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/stretch-silk-fabric/,/discover/structured-silk-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/soft-silk-fabric/,/discover/performance-silk-fabric/,material_attribute,material_attribute,high_overlap,soft silk fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/soft-silk-fabric/,/discover/performance-silk-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/durable-silk-fabric/,/discover/flowy-silk-fabric/,material_attribute,material_attribute,high_overlap,durable silk fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/durable-silk-fabric/,/discover/flowy-silk-fabric/,KEEP as supporting note; parent hub owns the head term
