url,page_type,cluster,content_purpose,primary_topic,secondary_topics,search_intent,h1,h2_summary,word_count,unique_body_content_estimate,similarity_risk,canonical,indexable,sitemap_eligible,image,image_relevance,image_alt,internal_inlinks,internal_outlinks,crawl_depth,schema_type,value_class,recommended_action
/fabrics/wool-fabric/,intent_hub,intent_hub,Support discovery inside the fabric catalog.,wool fabric,wool fabrics; wool material; woven wool fabric; wool clothing material; types of wool fabrics; what is woolen fabric; properties of wool fabric; wool fabric for clothing; durable wool fabric,commercial_investigation,"Wool fabric for clothing, tailoring and coats",,421,100,strong,/fabrics/wool-fabric/,true,true,/media/fabrics/tropical-wool-super-110s-130s-primary.webp,catalog photograph for the material or garment family,Fine tropical worsted wool with a crisp breathable tailoring weave,27,27,2,Organization|CollectionPage|FAQPage|BreadcrumbList,A,KEEP
/collections/,collection_hub,collection_hub,Support discovery inside the fabric catalog.,fabric collections,fabric materials; seasonal fabrics; linen fabrics; cotton fabrics,commercial_investigation,Start with the material.,,315,70,strong,/collections/,true,true,/media/fabrics/silk-chiffon-primary.webp,catalog photograph for the material or garment family,Deep burgundy transparent silk chiffon in fluid folds,18,18,1,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/,best_for_hub,best_for_hub,Support discovery inside the fabric catalog.,best fabrics by use,apparel fabrics; home textiles; shirt fabrics; dress fabrics,commercial_investigation,Find fabric for what you are making.,,313,70,strong,/fabrics/best-for/,true,true,,none,,17,17,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/guides/,guide_hub,guide_hub,Support discovery inside the fabric catalog.,fabric education,fabric sourcing education; 2027 fabric directions; fabric weight GSM; woven vs knit,informational,Fabric knowledge for better sourcing.,,303,70,strong,/guides/,true,true,,none,,28,28,1,Organization|CollectionPage|BreadcrumbList,A,KEEP
/help/,help_hub,help_hub,Support discovery inside the fabric catalog.,FabStitch help,fabric search help; fabric inquiries,support,How can we help?,,,70,strong,/help/,true,true,,none,,17,17,1,Organization|BreadcrumbList,A,KEEP
/about/,brand,brand,Support discovery inside the fabric catalog.,about FabStitch,fabric discovery; material sourcing,brand,"Material decisions, made clearer.",,313,100,strong,/about/,true,true,,none,,3,3,1,Organization|BreadcrumbList,A,KEEP
/how-it-works/,brand,brand,Support discovery inside the fabric catalog.,how FabStitch works,fabric search; fabric buying,navigational,From an idea to the right fabric.,,306,100,strong,/how-it-works/,true,true,,none,,3,3,1,Organization,A,KEEP
/contact/,brand,brand,Support discovery inside the fabric catalog.,contact FabStitch,fabric help; customer support,navigational,Let’s talk fabrics.,,307,100,strong,/contact/,true,true,,none,,3,3,1,Organization,A,KEEP
/fabrics/european-flax-linen/,fabric,fabric,Document one named cloth.,European Flax Linen fabric,Linen and linen blends; Linen & Lightweight; Shirts; Trousers; Dresses,commercial_investigation,European Flax Linen,,405,97,strong,/fabrics/european-flax-linen/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,3,3,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/linen-cotton/,fabric,fabric,Document one named cloth.,Linen–Cotton fabric,Linen and linen blends; Linen & Lightweight; Shirts; Chore jackets; Bottoms,commercial_investigation,Linen–Cotton,,407,71,strong,/fabrics/linen-cotton/,true,true,/media/fabrics/linen-cotton-primary.webp,catalog photograph for the material or garment family,Linen-cotton blend fabric with a balanced plain weave,3,3,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/cotton-poplin/,fabric,fabric,Document one named cloth.,Cotton Poplin fabric,"Cotton — light, open, textured; Cotton; Shirts",commercial_investigation,Cotton Poplin,,381,65,strong,/fabrics/cotton-poplin/,true,true,/media/fabrics/cotton-poplin-primary.webp,catalog photograph for the material or garment family,Crisp fine-count cotton poplin fabric in soft folds,2,2,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/cotton-voile/,fabric,fabric,Document one named cloth.,Cotton Voile fabric,"Cotton — light, open, textured; Cotton; Shirts",commercial_investigation,Cotton Voile,,381,65,strong,/fabrics/cotton-voile/,true,true,/media/fabrics/cotton-voile-primary.webp,catalog photograph for the material or garment family,Lightweight translucent cotton voile fabric,2,2,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/cotton-seersucker/,fabric,fabric,Document one named cloth.,Cotton Seersucker fabric,"Cotton — light, open, textured; Cotton",commercial_investigation,Cotton Seersucker,,395,96,strong,/fabrics/cotton-seersucker/,true,true,/media/fabrics/cotton-seersucker-primary.webp,catalog photograph for the material or garment family,Puckered cotton seersucker fabric in pale blue stripes,1,1,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/silk-chiffon/,fabric,fabric,Document one named cloth.,Silk Chiffon fabric,Silk and the ethereal group; Silk & Sheer; Dresses; Blouses; Scarves,commercial_investigation,Silk Chiffon,,393,67,strong,/fabrics/silk-chiffon/,true,true,/media/fabrics/silk-chiffon-primary.webp,catalog photograph for the material or garment family,Deep burgundy transparent silk chiffon in fluid folds,3,3,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/silk-georgette/,fabric,fabric,Document one named cloth.,Silk Georgette fabric,Silk and the ethereal group; Silk & Sheer; Dresses; Trousers,commercial_investigation,Silk Georgette,,401,75,strong,/fabrics/silk-georgette/,true,true,/media/fabrics/silk-georgette-primary.webp,catalog photograph for the material or garment family,Muted teal silk georgette with a fine crepe surface,3,3,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/pointelle-knit/,fabric,fabric,Document one named cloth.,Pointelle Knit fabric,Knitwear — the year-round shift; Knitwear; Resortwear,commercial_investigation,Pointelle Knit,,391,93,strong,/fabrics/pointelle-knit/,true,true,/media/fabrics/pointelle-knit-primary.webp,catalog photograph for the material or garment family,Pointelle knit with fine loops and repeated decorative eyelets,2,2,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/stretch-woven-compression/,fabric,fabric,Document one named cloth.,Stretch-Woven Compression fabric,"Performance, swim and next-to-skin; Performance; Baselayers",commercial_investigation,Stretch-Woven Compression,,386,100,strong,/fabrics/stretch-woven-compression/,true,true,/media/fabrics/stretch-woven-compression-primary.webp,catalog photograph for the material or garment family,Dense stretch-woven compression fabric with a fine technical grid,2,2,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/melton/,fabric,fabric,Document one named cloth.,Melton fabric,The brushed and felted group; AW Textures; Coats,commercial_investigation,Melton,,385,93,strong,/fabrics/melton/,true,true,/media/fabrics/melton-primary.webp,catalog photograph for the material or garment family,Dense fulled melton wool with a short compact nap and firm body,2,2,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/boiled-wool/,fabric,fabric,Document one named cloth.,Boiled Wool fabric,The brushed and felted group; AW Textures; Jackets; Unlined coats; Soft tailoring,commercial_investigation,Boiled Wool,,388,93,strong,/fabrics/boiled-wool/,true,true,/media/fabrics/boiled-wool-primary.webp,catalog photograph for the material or garment family,Boiled wool with a dense felted fiber surface and stable body,3,3,2,Organization|Product|BreadcrumbList,A,KEEP
/fabrics/lightweight-denim/,fabric,fabric,Document one named cloth.,Lightweight Denim fabric,Denim in 2027; Denim,commercial_investigation,Lightweight Denim,,397,70,strong,/fabrics/lightweight-denim/,true,true,/media/fabrics/lightweight-denim-primary.webp,catalog photograph for the material or garment family,Lightweight blue cotton denim with a fine diagonal twill,1,1,2,Organization|Product|BreadcrumbList,A,KEEP
/collections/linen-lightweight/,collection,collection,Group named fabrics that share a direction.,linen fabric,European Flax Linen; Linen–Cotton; Linen–Silk; Linen–Viscose; Linen–Lyocell,commercial_investigation,Linen Fabric for Clothing & Apparel,,788,88,strong,/collections/linen-lightweight/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,27,27,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/cotton/,collection,collection,Group named fabrics that share a direction.,cotton fabric,Cotton Poplin; Cotton Voile; Cotton Organdy; Cotton Bouclé Yarn; Cotton Seersucker,commercial_investigation,Cotton Fabric for Clothing & Apparel,,2259,88,strong,/collections/cotton/,true,true,/media/fabrics/cotton-poplin-primary.webp,catalog photograph for the material or garment family,Crisp fine-count cotton poplin fabric in soft folds,68,68,2,Organization|CollectionPage|FAQPage|BreadcrumbList,A,KEEP
/collections/silk-sheer/,collection,collection,Group named fabrics that share a direction.,silk fabric,Silk Chiffon; Silk Georgette; Silk Organza; Silk Taffeta; Crepe de Chine,commercial_investigation,Silk Fabric for Apparel & Occasionwear,,1059,100,strong,/collections/silk-sheer/,true,true,/media/fabrics/silk-chiffon-primary.webp,catalog photograph for the material or garment family,Deep burgundy transparent silk chiffon in fluid folds,35,35,2,Organization|CollectionPage|FAQPage|BreadcrumbList,A,KEEP
/collections/tailoring/,collection,collection,Group named fabrics that share a direction.,Tailoring fabrics,Merino + Roica Stretch Tailoring; Wool–Silk Bi-Stretch; Wool–Linen Open Weave; Wool–Mohair Open Weave; Super 110s–130s Tropical Wool,commercial_investigation,Tailoring fabrics,,734,76,strong,/collections/tailoring/,true,true,/media/fabrics/wool-silk-bi-stretch-primary.webp,catalog photograph for the material or garment family,Wool-silk bi-stretch tailoring cloth with a fine resilient weave,21,21,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/knitwear/,collection,collection,Group named fabrics that share a direction.,Knitwear fabrics,Open-Stitch Knit; Pointelle Knit; Crochet-Effect Knit; Fine-Gauge Semi-Sheer Knit; Cotton Bouclé Knit,commercial_investigation,Knitwear fabrics,,1140,76,strong,/collections/knitwear/,true,true,/media/fabrics/pointelle-knit-primary.webp,catalog photograph for the material or garment family,Pointelle knit with fine loops and repeated decorative eyelets,33,33,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/performance/,collection,collection,Group named fabrics that share a direction.,Performance fabrics,Stretch-Woven Compression; Crossover Swimwear Fabric; Cooling Performance Construction; Ultra-Light Semi-Sheer Lounge Knit; Retro Sportif Knit,commercial_investigation,Performance fabrics,,323,76,strong,/collections/performance/,true,true,/media/fabrics/stretch-woven-compression-primary.webp,catalog photograph for the material or garment family,Dense stretch-woven compression fabric with a fine technical grid,11,11,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/aw-textures/,collection,collection,Group named fabrics that share a direction.,AW Textures fabrics,Melton; Boiled Wool; Double-Face Wool; Brushed Flannel; Mohair Blend,commercial_investigation,AW Textures fabrics,,550,71,strong,/collections/aw-textures/,true,true,/media/fabrics/melton-primary.webp,catalog photograph for the material or garment family,Dense fulled melton wool with a short compact nap and firm body,19,19,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/velvet-pile/,collection,collection,Group named fabrics that share a direction.,Velvet & Pile fabrics,Fine-Wale Corduroy; Jumbo Corduroy; Cotton Velveteen; Silk–Viscose Velvet; Crushed Velvet,commercial_investigation,Velvet & Pile fabrics,,347,76,strong,/collections/velvet-pile/,true,true,/media/fabrics/silk-viscose-velvet-primary.webp,catalog photograph for the material or garment family,Silk-viscose velvet with a dense luminous directional pile,12,12,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/structured-classics/,collection,collection,Group named fabrics that share a direction.,Structured Classics fabrics,Herringbone Tweed; Donegal Tweed; Tartan; Check; Membrane-Backed Gabardine,commercial_investigation,Structured Classics fabrics,,398,76,strong,/collections/structured-classics/,true,true,/media/fabrics/donegal-tweed-primary.webp,catalog photograph for the material or garment family,Donegal tweed with irregular colored wool nep flecks,14,14,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/technical-outerwear/,collection,collection,Group named fabrics that share a direction.,Technical Outerwear fabrics,Recycled Nylon Ripstop; 2L Membrane Laminate; 2.5L Membrane Laminate; 3L Membrane Laminate; Wool–Technical Hybrid,commercial_investigation,Technical Outerwear fabrics,,390,76,strong,/collections/technical-outerwear/,true,true,/media/fabrics/recycled-nylon-ripstop-primary.webp,catalog photograph for the material or garment family,Recycled nylon ripstop with a reinforced square grid,13,13,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/denim/,collection,collection,Group named fabrics that share a direction.,denim fabric,Lightweight Denim; Premium-Weight Denim; Recycled-Cotton Denim; Laser- and Ozone-Finished Denim; Hemp–Cotton Denim,commercial_investigation,Denim Fabric for Jeans & Apparel,,489,100,strong,/collections/denim/,true,true,/media/fabrics/lightweight-denim-primary.webp,catalog photograph for the material or garment family,Lightweight blue cotton denim with a fine diagonal twill,18,18,2,Organization|CollectionPage|FAQPage|BreadcrumbList,A,KEEP
/collections/home-contract/,collection,collection,Group named fabrics that share a direction.,Home & Contract fabrics,Upholstery Bouclé; Heavy Linen Upholstery; Wool Felt Upholstery; Performance Upholstery Weave; Open-Weave Linen Curtain,commercial_investigation,Home & Contract fabrics,,701,71,strong,/collections/home-contract/,true,true,/media/fabrics/heavy-linen-upholstery-primary.webp,catalog photograph for the material or garment family,Heavy oat linen upholstery with a dense irregular plain weave,23,23,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/spring-summer-2027/,seasonal_collection,seasonal_collection,Group named fabrics that share a direction.,Spring / Summer 2027 fabrics,Linen & Lightweight; Cotton; Silk & Sheer; Tailoring; Knitwear; Performance,commercial_investigation,Spring / Summer 2027 fabrics,,4828,96,strong,/collections/spring-summer-2027/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,149,149,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/autumn-winter-2027-28/,seasonal_collection,seasonal_collection,Group named fabrics that share a direction.,Autumn / Winter 2027–28 fabrics,AW Textures; Velvet & Pile; Structured Classics; Technical Outerwear; Denim,commercial_investigation,Autumn / Winter 2027–28 fabrics,,2799,96,strong,/collections/autumn-winter-2027-28/,true,true,/media/fabrics/melton-primary.webp,catalog photograph for the material or garment family,Dense fulled melton wool with a short compact nap and firm body,86,86,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/collections/home-contract-2027-28/,seasonal_collection,seasonal_collection,Group named fabrics that share a direction.,Home and contract fabrics for 2027–28,Home & Contract,commercial_investigation,Home and contract fabrics for 2027–28,,695,100,strong,/collections/home-contract-2027-28/,true,true,/media/fabrics/upholstery-boucle-primary.webp,catalog photograph for the material or garment family,Dense ivory upholstery bouclé with irregular looped yarns,19,19,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/shirts/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for shirts,European Flax Linen; Linen–Cotton; Cotton Poplin; Cotton Voile; Crepe de Chine; Brushed Flannel,commercial_investigation,Fabrics for shirts,,1462,89,strong,/fabrics/best-for/shirts/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,65,65,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/womens-clothing/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for women's clothing,European Flax Linen; Linen–Silk; Silk Chiffon; Silk Georgette; Silk Taffeta; Crepe de Chine,commercial_investigation,Fabrics for women's clothing,,2176,89,strong,/fabrics/best-for/womens-clothing/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,76,76,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/dresses/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for dresses,European Flax Linen; Linen–Silk; Silk Chiffon; Silk Georgette; Silk Satin; Silk Twill,commercial_investigation,Fabrics for dresses,,1586,95,strong,/fabrics/best-for/dresses/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,68,68,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/trousers/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for trousers,European Flax Linen; Linen–Cotton; Linen–Viscose; Linen–Lyocell; Silk Georgette; Brushed Flannel,commercial_investigation,Fabrics for trousers,,965,95,strong,/fabrics/best-for/trousers/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,35,35,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/tailoring/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for tailoring,Linen–Viscose; Linen–Lyocell; Merino + Roica Stretch Tailoring; Wool–Silk Bi-Stretch; Wool–Linen Open Weave; Wool–Mohair Open Weave,commercial_investigation,Fabrics for tailoring,,695,100,strong,/fabrics/best-for/tailoring/,true,true,/media/fabrics/linen-viscose-primary.webp,catalog photograph for the material or garment family,Drapey linen-viscose blend fabric in soft natural folds,27,27,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/activewear/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for activewear,Stretch-Woven Compression; Crossover Swimwear Fabric; Cooling Performance Construction; Ultra-Light Semi-Sheer Lounge Knit; Retro Sportif Knit; Egyptian Cotton Flannel,commercial_investigation,Fabrics for activewear,,1086,100,strong,/fabrics/best-for/activewear/,true,true,/media/fabrics/stretch-woven-compression-primary.webp,catalog photograph for the material or garment family,Dense stretch-woven compression fabric with a fine technical grid,41,41,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/knitwear/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for knitwear,Linen–Silk; Cotton Organdy; Cotton Bouclé Yarn; Silk Bouclé; Fine-Gauge Semi-Sheer Knit; Cotton Bouclé Knit,commercial_investigation,Fabrics for knitwear,,1181,96,strong,/fabrics/best-for/knitwear/,true,true,/media/fabrics/linen-silk-primary.webp,catalog photograph for the material or garment family,Linen-silk blend with a soft sheen and fine natural texture,41,41,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/resortwear/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for resortwear,Linen–Silk; Open-Stitch Knit; Pointelle Knit; Crochet-Effect Knit; Silk Noil; Slub Cotton Lawn,commercial_investigation,Fabrics for resortwear,,416,100,strong,/fabrics/best-for/resortwear/,true,true,/media/fabrics/linen-silk-primary.webp,catalog photograph for the material or garment family,Linen-silk blend with a soft sheen and fine natural texture,12,12,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/occasionwear/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for occasionwear,Silk Taffeta; Silk Dupion; Silk–Viscose Velvet; Silk Satin; Silk Tussar; Silk Faille,commercial_investigation,Fabrics for occasionwear,,385,96,strong,/fabrics/best-for/occasionwear/,true,true,/media/fabrics/silk-taffeta-primary.webp,catalog photograph for the material or garment family,Deep plum silk taffeta with structured reflective folds,13,13,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/outerwear/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for outerwear,Silk Taffeta; Melton; Boiled Wool; Double-Face Wool; Mohair Blend; Alpaca Blend,commercial_investigation,Fabrics for outerwear,,646,95,strong,/fabrics/best-for/outerwear/,true,true,/media/fabrics/silk-taffeta-primary.webp,catalog photograph for the material or garment family,Deep plum silk taffeta with structured reflective folds,23,23,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/home-textiles/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for home textiles,Silk Dupion; Silk–Viscose Velvet; Upholstery Bouclé; Heavy Linen Upholstery; Wool Felt Upholstery; Performance Upholstery Weave,commercial_investigation,Fabrics for home textiles,,804,100,strong,/fabrics/best-for/home-textiles/,true,true,/media/fabrics/silk-dupion-primary.webp,catalog photograph for the material or garment family,Deep navy silk dupion with pronounced slubbed texture,26,26,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/upholstery/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for upholstery,Upholstery Bouclé; Heavy Linen Upholstery; Wool Felt Upholstery; Performance Upholstery Weave,commercial_investigation,Fabrics for upholstery,,307,100,strong,/fabrics/best-for/upholstery/,true,true,/media/fabrics/upholstery-boucle-primary.webp,catalog photograph for the material or garment family,Dense ivory upholstery bouclé with irregular looped yarns,7,7,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/best-for/bedding/,best_for,best_for,Shortlist fabrics for one garment family.,Fabrics for bedding,Long-Staple Cotton Percale; Long-Staple Cotton Sateen; Washed Linen Bedding; Lyocell-Blend Bedding; Egyptian Cotton Percale; Egyptian Cotton Sateen,commercial_investigation,Fabrics for bedding,,386,100,strong,/fabrics/best-for/bedding/,true,true,/media/fabrics/long-staple-cotton-percale-primary.webp,catalog photograph for the material or garment family,White long-staple cotton percale with a crisp matte weave,10,10,3,Organization|CollectionPage|BreadcrumbList,A,KEEP
/guides/fabrics-2027/,guide,guide,Explain one fabric concept in a standalone guide.,A practical guide to the FabStitch 2027 fabric collection,2027-directions; european-flax-linen; silk-chiffon; pointelle-knit; melton; recycled-nylon-ripstop; shirts; womens-clothing; outerwear,informational,A practical guide to the FabStitch 2027 fabric collection,,519,94,strong,/guides/fabrics-2027/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,11,11,2,Organization|Article|FAQPage|BreadcrumbList,A,KEEP
/guides/spring-summer-2027-fabrics/,guide,guide,Explain one fabric concept in a standalone guide.,Spring/Summer 2027: lightness with structure,2027-directions; european-flax-linen; cotton-poplin; silk-chiffon; wool-silk-bi-stretch; pointelle-knit; shirts; dresses; tailoring,informational,Spring/Summer 2027: lightness with structure,,420,100,strong,/guides/spring-summer-2027-fabrics/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,11,11,2,Organization|Article|FAQPage|BreadcrumbList,A,KEEP
